table_num;tema;ufs;rows;municipios;data_cols;colunas;alta;media;baixa
67;propriedade_terras;18;2874;1519;6;estab_total, area_ha_total, estab_individual, area_ha_individual, estab_soc_condominio, area_ha_soc_condominio;783;1806;285
68;condicao_legal_terras;20;2025;1441;6;val_1, val_2, val_3, val_4, val_5, val_6;501;1317;207
69;classe_atividade_economica;21;2734;1638;6;val_1, val_2, val_3, val_4, val_5, val_6;1123;971;640
70;condicao_produtor;21;3281;2520;8;estab_proprietario, area_ha_proprietario, estab_arrendatario, area_ha_arrendatario, estab_parceiro, area_ha_parceiro, estab_ocupante, area_ha_ocupante;724;2490;67
71;residencia_produtor;21;3460;2548;8;val_1, val_2, val_3, val_4, val_5, val_6, val_7, val_8;1295;2165;0
72;forma_administracao;21;3498;2374;6;val_1, val_2, val_3, val_4, val_5, val_6;1583;1915;0
73;cooperativas;21;3215;2732;6;val_1, val_2, val_3, val_4, val_5, val_6;363;2852;0
74;servicos_empreitada;20;3160;2480;8;val_1, val_2, val_3, val_4, val_5, val_6, val_7, val_8;766;2322;72
75;uso_forca_trabalho;19;2681;2129;7;estab_total, inform_forca_total, inform_animal, inform_mecanica, inform_propria, inform_alugada, inform_outra_sem_decl;1239;1442;0
76;assistencia_tecnica;21;3441;2664;7;val_1, val_2, val_3, val_4, val_5, val_6, val_7;563;2613;265
77;fertilizantes_defensivos;20;3081;2023;8;val_1, val_2, val_3, val_4, val_5, val_6, val_7, val_8;969;2112;0
78;conservacao_solo;20;3267;2582;5;val_1, val_2, val_3, val_4, val_5;713;2290;264
79;irrigacao;20;3243;2533;8;val_1, val_2, val_3, val_4, val_5, val_6, val_7, val_8;355;2513;375
80;inseminacao_ordenha;12;2631;2168;3;val_1, val_2, val_3;166;311;2154
81;terras_fora_area;18;3026;2528;5;val_1, val_2, val_3, val_4, val_5;579;1947;500
82;parcelas;18;2332;1287;8;val_1, val_2, val_3, val_4, val_5, val_6, val_7, val_8;605;1717;10
83;terras_proprias_terceiros;17;2290;1315;7;val_1, val_2, val_3, val_4, val_5, val_6, val_7;562;1728;0
84;grupos_area_total;21;5546;4092;6;estab_total, area_ha_total, estab_menos_1ha, area_ha_menos_1ha, estab_1_a_2ha, area_ha_1_a_2ha;503;4924;119
85;grupos_area_complemento;13;2023;1704;5;val_1, val_2, val_3, val_4, val_5;777;1042;204
86;utilizacao_terras;20;2724;1708;7;estab_total, area_ha_total, inform_lav_permanente, area_ha_lav_permanente, inform_lav_temporaria, area_ha_lav_temporaria, inform_lav_temp_descanso;421;1594;709
87;pessoal_ocupado;17;4411;3381;5;val_1, val_2, val_3, val_4, val_5;1241;2640;530
88;grupos_pessoal_ocupado;20;2626;2145;6;estab_total, num_pessoas_total, estab_menos_5, num_pessoas_menos_5, estab_5_a_10, num_pessoas_5_a_10;709;1597;320
89;silos_armazenamento;20;2188;1763;6;val_1, val_2, val_3, val_4, val_5, val_6;798;1208;182
90;maquinas_instrumentos;19;2715;2183;7;val_1, val_2, val_3, val_4, val_5, val_6, val_7;363;2206;146
91;meios_transporte;20;3320;2371;9;val_1, val_2, val_3, val_4, val_5, val_6, val_7, val_8, val_9;829;2491;0
92;energia_eletrica;21;6480;4648;7;val_1, val_2, val_3, val_4, val_5, val_6, val_7;787;4579;1114
93;bens_despesas;20;3330;2447;11;val_1, val_2, val_3, val_4, val_5, val_6, val_7, val_8, val_9, val_10, val_11;384;2619;327
94;investimentos;21;7103;4756;8;val_1, val_2, val_3, val_4, val_5, val_6, val_7, val_8;469;5813;821
95;valor_bens_invest_financ;20;3314;2482;6;inform_bens, valor_bens_mil_cr, inform_investimentos, valor_investimentos_mil_cr, inform_financiamentos, valor_financiamentos_mil_cr;1434;1880;0
96;despesas;20;3277;2220;6;val_1, val_2, val_3, val_4, val_5, val_6;1464;1813;0
97;efetivo_bubalinos_machos;21;3318;2481;6;val_1, val_2, val_3, val_4, val_5, val_6;1781;1537;0
98;efetivo_bubalinos_femeas;14;2073;1764;6;val_1, val_2, val_3, val_4, val_5, val_6;819;1081;173
99;efetivo_equinos;21;3177;2708;5;efetivo_total, nascidos, vitimados, comprados, vendidos;1147;1980;50
100;efetivo_asininos;10;1503;1262;5;efetivo_total, nascidos, vitimados, comprados, vendidos;216;679;608
101;efetivo_muares;17;2865;2389;5;efetivo_total, nascidos, vitimados, comprados, vendidos;380;1291;1194
102;efetivo_bovinos;21;3277;2348;6;val_1, val_2, val_3, val_4, val_5, val_6;1491;1786;0
103;efetivo_suinos;18;3209;2739;6;val_1, val_2, val_3, val_4, val_5, val_6;1065;2144;0
104;efetivo_caprinos;20;2977;2318;6;val_1, val_2, val_3, val_4, val_5, val_6;553;2424;0
105;efetivo_coelhos;5;1603;1421;6;val_1, val_2, val_3, val_4, val_5, val_6;852;751;0
106;efetivo_ovinos;17;2471;1596;6;val_1, val_2, val_3, val_4, val_5, val_6;1426;1045;0
107;efetivo_aves;21;3545;2403;5;efetivo_total, nascidos, vitimados, comprados, vendidos;2546;999;0
108;producao_leite_ovos;19;3403;1977;7;val_1, val_2, val_3, val_4, val_5, val_6, val_7;299;3104;0
109;producao_la_mel;20;3650;1589;5;val_1, val_2, val_3, val_4, val_5;420;2718;512
110;producao_animal_cont;9;2065;1200;3;val_1, val_2, val_3;200;1550;315
111;colheita_lav_temporaria;20;21390;14486;6;inform_1safra, qtde_1safra, area_ha_1safra, inform_2safra, qtde_2safra, area_ha_2safra;6748;14642;0
112;lavoura_permanente;20;16837;10624;8;val_1, val_2, val_3, val_4, val_5, val_6, val_7, val_8;2136;14701;0
113;horticultura;20;6177;3577;6;val_1, val_2, val_3, val_4, val_5, val_6;1497;1682;2998
114;produtos_extrativos;20;4894;3292;6;val_1, val_2, val_3, val_4, val_5, val_6;1249;3321;324
115;silvicultura;8;745;373;6;val_1, val_2, val_3, val_4, val_5, val_6;135;546;64
116;silvicultura_cont;7;1184;888;4;val_1, val_2, val_3, val_4;338;846;0
117;transformacao_beneficiamento;15;3614;2544;6;val_1, val_2, val_3, val_4, val_5, val_6;1240;2248;126
118;transformacao_cont;14;1096;586;8;val_1, val_2, val_3, val_4, val_5, val_6, val_7, val_8;72;503;521
119;producao_particular;21;3493;1373;6;val_1, val_2, val_3, val_4, val_5, val_6;635;655;2203
