_uf;_label;_level;estab_proprietario;area_ha_proprietario;estab_arrendatario;area_ha_arrendatario;estab_parceiro;area_ha_parceiro;estab_ocupante;area_ha_ocupante;confianca
AC;TOTAIS;total;12931.0;2322000.0;5344.0;582802.0;1029.0;467920.0;15745.0;1862040.0;alta
AC;ACRE;mesorregiao;12931.0;2322000.0;5344.0;582802.0;1029.0;467920.0;15745.0;1862040.0;alta
AC;ALTO JURUA;microrregiao;2766.0;878275.0;5307.0;574580.0;992.0;457028.0;4844.0;531918.0;alta
AC;CRUZEIRO DO SUL;municipio;1453.0;59143.0;3619.0;342610.0;;371.0;1363.0;44377.0;alta
AC;FEIJO;municipio;434.0;697269.0;79.0;23900.0;596.0;398789.0;936.0;219730.0;alta
AC;MANCIO LIMA;municipio;422.0;19733.0;378.0;40654.0;;;293.0;16951.0;alta
AC;TARAUACA;municipio;457.0;102129.0;1231.0;167415.0;388.0;57868.0;2252.0;250859.0;alta
AC;ALTO PURUS;microrregiao;10165.0;1443724.0;37.0;8221.0;37.0;10892.0;10901.0;1330121.0;alta
AC;ASSIS BRASIL;municipio;89.0;6239.0;;;;;78.0;8721.0;alta
AC;BRASILEIA;municipio;1850.0;210867.0;;;;10.0;630.0;37516.0;alta
AC;MANOEL URBANO;municipio;10.0;2505.0;;239.0;;50.0;718.0;67156.0;alta
AC;PL ACIOO DE CASTRO;municipio;2221.0;153263.0;;40.0;;;1323.0;141145.0;alta
AC;SENADOR GUIOMARD;municipio;1061.0;129547.0;;;19.0;1722.0;1184.0;96136.0;alta
AC;SENA MADUREIRA;municipio;493.0;202340.0;19.0;4625.0;;15.0;3888.0;471253.0;alta
AC;XAPUR(;municipio;562.0;173814.0;;1581.0;;60.0;1300.0;268222.0;alta
AL;TOTAIS;total;86366.0;2107895.0;16634.0;153337.0;7787.0;22873.0;31987.0;79665.0;alta
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;74114.0;1277015.0;11690.0;20494.0;7285.0;11939.0;28876.0;63941.0;alta
AL;SERTÃO ALAGOANO;microrregiao;14717.0;277042.0;2193.0;3963.0;3373.0;6580.0;6342.0;15969.0;alta
AL;AGUA BRANCA;municipio;4560.0;44395.0;1081.0;1608.0;865.0;1209.0;856.0;3032.0;alta
AL;CANAPI;municipio;2414.0;167.0;366.0;454.0;1090.0;1242.0;4413.0;;alta
