_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;confianca
AC;TOTAIS;total;2302.0;183.0;2137.0;473.0;375.0;426.0;520.0;774.0;alta
AC;ACRE;mesorregiao;2302.0;183.0;2137.0;473.0;375.0;426.0;520.0;774.0;alta
AC;ALTO JURUA;microrregiao;225.0;;223.0;25.0;62.0;13.0;31.0;112.0;alta
AC;CRUZEIRO;municipio;93.0;;92.0;19.0;30.0;;18.0;31.0;alta
AC;FEI JO;municipio;64.0;;64.0;;16.0;;;37.0;alta
AC;MANCIO LIMA;municipio;18.0;;18.0;;;;;;alta
AC;TARAUACA;municipio;50.0;;49.0;;16.0;;;39.0;alta
AC;ALTO PURUS;microrregiao;2077.0;181.0;1914.0;448.0;313.0;413.0;489.0;662.0;alta
AC;ASSIS BRASIL;municipio;18.0;;18.0;;;;;13.0;alta
AC;BRASILEIA;municipio;362.0;;355.0;149.0;66.0;31.0;115.0;154.0;alta
AC;MANOEL URBANO;municipio;;;;;;;;;alta
AC;PLACIOO DE CASTRO;municipio;295.0;;294.0;142.0;31.0;17.0;106.0;46.0;alta
AC;SENADOR GU I OMARO;municipio;311.0;;307.0;11.0;47.0;187.0;41.0;56.0;alta
AC;SENA MADUREIRA;municipio;221.0;;221.0;51.0;44.0;24.0;36.0;92.0;alta
AC;XAPURI;municipio;114.0;;113.0;;;50.0;;45.0;alta
AL;TOTAIS;total;7426.0;870.0;6813.0;2456.0;2824.0;2319.0;2744.0;2247.0;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;5492.0;723.0;4934.0;2021.0;895.0;1532.0;556.0;1918.0;media
AL;SERTÃO ALAGOANO;microrregiao;152.0;;144.0;30.0;58.0;24.0;38.0;58.0;media
AL;AGUA BRANCA;municipio;30.0;;29.0;;;;;;media
AL;CANAPI;municipio;;;;;;;;;media
AL;DELMIRO GOUVEIA;municipio;;;;;;3.0;;;media
AL;INHAPI;municipio;19.0;;18.0;;;;;14.0;media
AL;MATA GRANDE;municipio;80.0;;80.0;22.0;49.0;18.0;30.0;36.0;media
AL;OLHO D' AGUA DO CASADO;municipio;;;;;;;;;media
AL;PIRANHAS;municipio;;;;;;;;;media
AL;BATALHA;microrregiao;2233.0;87.0;2193.0;841.0;1062.0;827.0;931.0;788.0;media
AL;BATALHA;municipio;154.0;15.0;150.0;52.0;121.0;132.0;112.0;122.0;media
AL;BELO MONTE;municipio;196.0;;196.0;91.0;109.0;72.0;31.0;27.0;media
AL;CARNEIROS;municipio;228.0;13.0;228.0;54.0;94.0;177.0;119.0;16.0;media
AL;DOIS RIACHOS;municipio;44.0;;43.0;23.0;7.0;15.0;;;media
AL;JACARE DOS HOMENS;municipio;56.0;;56.0;12.0;18.0;;13.0;39.0;media
AL;JARAMATAIA;municipio;33.0;;33.0;11.0;;;;22.0;media
AL;MAJOR ISIDORO;municipio;418.0;20.0;410.0;185.0;275.0;167.0;247.0;292.0;media
AL;MARAVILHA;municipio;30.0;;28.0;;;;;7.0;media
AL;MONTEIROPOLIS;municipio;21.0;;21.0;;14.0;;;;media
AL;OLHO D' AGUA DAS FLORES;municipio;131.0;14.0;119.0;93.0;28.0;11.0;22.0;23.0;media
AL;OLIVENÇA;municipio;108.0;;107.0;65.0;33.0;36.0;25.0;13.0;media
AL;OURO BRANCC;municipio;55.0;;55.0;32.0;13.0;13.0;12.0;13.0;media
AL;PALESTINA;municipio;17.0;;17.0;;;10.0;;2.0;media
AL;PÃO DE AÇUCAR;municipio;363.0;;360.0;89.0;227.0;20.0;220.0;94.0;media
AL;POÇO DAS TRINCHEIRAS;municipio;101.0;;100.0;34.0;18.0;33.0;18.0;28.0;media
AL;SANTANA DO IPANEMA;municipio;69.0;;64.0;19.0;22.0;21.0;22.0;33.0;media
AL;SÃO JOSE DA TA PERA;municipio;68.0;2.0;66.0;26.0;30.0;21.0;23.0;11.0;media
AL;SENADOR RUI PALMEIRA;municipio;141.0;2.0;140.0;60.0;43.0;71.0;4.0;31.0;media
AL;PALMEIRA DOS INDIDS;microrregiao;1438.0;139.0;1363.0;349.0;427.0;389.0;328.0;753.0;media
AL;CACIMBINHAS;municipio;133.0;;130.0;37.0;24.0;80.0;16.0;34.0;media
AL;IGACI;municipio;249.0;37.0;232.0;84.0;98.0;64.0;86.0;59.0;media
AL;MARIBONOO;municipio;111.0;;110.0;;;14.0;16.0;80.0;media
AL;MAR VERMELHO;municipio;109.0;;109.0;;;;;96.0;media
AL;MINADOR DO NEGRÃO;municipio;155.0;4.0;151.0;35.0;60.0;53.0;46.0;98.0;media
AL;PALMEIRA DOS INOIOS;municipio;397.0;67.0;355.0;169.0;152.0;140.0;103.0;166.0;media
AL;PAULO JACINTO;municipio;19.0;;18.0;;;;;9.0;media
AL;OUEBRANGU LO;municipio;226.0;16.0;220.0;13.0;72.0;22.0;46.0;193.0;media
AL;TANQUE D' ARCA;municipio;18.0;;18.0;;;;;;media
AL;ARAPIRACA;microrregiao;1079.0;106.0;13.0;379.0;312.0;261.0;220.0;245.0;media
AL;ANADIA;municipio;120.0;15.0;109.0;22.0;39.0;44.0;37.0;;media
AL;ARAPIRACA;municipio;54.0;;48.0;;15.0;;14.0;;media
AL;COITE DO NOIA;municipio;20.0;;20.0;;;;;;media
AL;CRAIBAS;municipio;48.0;;46.0;22.0;10.0;11.0;13.0;;media
AL;FEIRA GRANDE;municipio;39.0;;30.0;15.0;;;;;media
AL;GIRAU DO PONCIANO;municipio;80.0;13.0;76.0;20.0;24.0;27.0;;17.0;media
AL;LAGOA DA CANOA;municipio;;;;;;;;;media
AL;LIMOEIRO DE ANADIA;municipio;41.0;;39.0;;16.0;;14.0;;media
