_uf;_label;_level;estab_total;inform_forca_total;inform_animal;inform_mecanica;inform_propria;inform_alugada;inform_outra_sem_decl;confianca
AC;TOTAIS;total;35049.0;435.0;365.0;102.0;370.0;27.0;118.0;media
AC;ACRE;mesorregiao;35049.0;435.0;365.0;102.0;370.0;27.0;118.0;media
AC;ALTO JURUA;microrregiao;13909.0;129.0;121.0;12.0;116.0;;13.0;media
AC;CRUZEIRO DO SUL;municipio;6443.0;72.0;69.0;;64.0;;;media
AC;FEIJO;municipio;2045.0;19.0;17.0;;16.0;;;media
AC;MANCIO LIMA;municipio;1093.0;26.0;26.0;;26.0;;;media
AC;TARAUACA;municipio;4328.0;12.0;;;10.0;;;media
AC;ALTO PURUS;microrregiao;21140.0;306.0;244.0;90.0;254.0;19.0;105.0;media
AC;ASSIS BRASIL;municipio;167.0;;;;;;;media
AC;BRASILEIA;municipio;2482.0;12.0;;;11.0;;;media
AC;MANOEL URBANO;municipio;735.0;;;;;;;media
AC;PLACIOO DE CASTRO;municipio;3545.0;31.0;29.0;;21.0;;12.0;media
AC;SENADOR GUIOMARD;municipio;2264.0;38.0;26.0;42.0;27.0;;;media
AC;SENA MADUREIRA;municipio;4401.0;32.0;31.0;;30.0;;;media
AC;XAPURI;municipio;32.0;29.0;29.0;;;;;media
AL;TOTAIS;total;142774.0;57063.0;52570.0;20304.0;20891.0;18369.0;20168.0;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;121965.0;54476.0;51350.0;18236.0;19277.0;17837.0;19483.0;media
AL;SERTÃO ALAGOANO;microrregiao;26625.0;18696.0;18416.0;4845.0;5924.0;4924.0;;media
AL;AGUA BRANCA;municipio;8362.0;3085.0;3016.0;999.0;1168.0;999.0;982.0;media
AL;CANAPI;municipio;4277.0;4248.0;4179.0;853.0;417.0;813.0;2333.0;media
AL;OELMIRO GOUVEIA;municipio;1041.0;752.0;738.0;255.0;348.0;260.0;181.0;media
AL;INHAPI;municipio;5285.0;4772.0;4752.0;823.0;1108.0;857.0;2843.0;media
AL;MATA GRANDE;municipio;5613.0;4272.0;4228.0;1480.0;233.0;1556.0;1556.0;media
AL;OLHO D' AGUA;municipio;910.0;587.0;543.0;185.0;174.0;173.0;267.0;media
AL;PIRANHAS;municipio;1137.0;980.0;960.0;250.0;476.0;266.0;313.0;media
AL;BATALHA;microrregiao;26616.0;23116.0;22593.0;7197.0;8632.0;7361.0;8044.0;media
AL;BATALHA;municipio;408.0;364.0;310.0;165.0;183.0;137.0;109.0;media
AL;BELO MONTE;municipio;778.0;430.0;411.0;119.0;281.0;125.0;46.0;media
AL;CARNEIROS;municipio;962.0;928.0;899.0;288.0;244.0;252.0;491.0;media
AL;DOIS RIACHOS;municipio;1308.0;1219.0;1196.0;453.0;432.0;453.0;382.0;media
AL;.JACARE DOS HOMENS;municipio;201.0;129.0;118.0;50.0;81.0;31.0;19.0;media
AL;JARAMATAIA;municipio;151.0;92.0;75.0;57.0;47.0;52.0;7.0;media
AL;MAJOR ISIDORO;municipio;2115.0;1731.0;1560.0;576.0;622.0;520.0;639.0;media
AL;MARAVILHA;municipio;2044.0;1750.0;1729.0;321.0;658.0;334.0;826.0;media
AL;MONTEIROPOLIS;municipio;562.0;498.0;487.0;324.0;142.0;328.0;47.0;media
AL;OLHO D' AGUA DAS FLORES;municipio;1231.0;1157.0;1148.0;429.0;376.0;433.0;392.0;media
AL;OLIVENÇA;municipio;1867.0;1735.0;1729.0;468.0;549.0;462.0;790.0;media
AL;OURO BRANCO;municipio;1536.0;1447.0;1439.0;278.0;612.0;324.0;557.0;media
AL;PALESTINA;municipio;307.0;236.0;235.0;121.0;55.0;124.0;66.0;media
AL;PÃO DE AÇUCAR;municipio;2109.0;1727.0;1660.0;418.0;720.0;364.0;678.0;media
AL;POÇO DAS TRINCHEIRAS;municipio;2025.0;1756.0;1748.0;749.0;516.0;785.0;494.0;media
AL;SANTANA DO IPANEMA;municipio;3217.0;2551.0;2533.0;818.0;1059.0;982.0;618.0;media
AL;SÃO .JOSE DA TAPERA;municipio;4618.0;4199.0;4153.0;1376.0;1467.0;1398.0;1495.0;media
AL;SENADOR RUI PALMEIRA;municipio;1177.0;1167.0;1163.0;187.0;588.0;257.0;388.0;media
AL;PALMEIRA DOS INDIOS;microrregiao;19114.0;8167.0;7620.0;3554.0;3078.0;3614.0;787.0;media
AL;CACIMBINHAS;municipio;1466.0;933.0;871.0;157.0;504.0;213.0;235.0;media
AL;IGACI;municipio;5540.0;3368.0;3092.0;1573.0;912.0;646.0;960.0;media
AL;MARIBONDO;municipio;359.0;41.0;31.0;17.0;33.0;;14.0;media
AL;MAR VERMELHO;municipio;551.0;19.0;19.0;;16.0;;;media
AL;MINADOR DO NEGRÃO;municipio;758.0;700.0;680.0;319.0;293.0;101.0;;media
AL;PALMEIRA DOS INDIOS;municipio;6855.0;2866.0;2727.0;1411.0;1132.0;1392.0;410.0;media
AL;PAULO JACINTO;municipio;1156.0;39.0;30.0;19.0;16.0;18.0;12.0;media
AL;QUEBRANGULO;municipio;706.0;131.0;121.0;38.0;109.0;25.0;18.0;media
AL;TANQUE O' ARCA;municipio;1028.0;19.0;;16.0;;11.0;;media
AL;ARAPIRACA;microrregiao;40856.0;3348.0;2609.0;1562.0;1490.0;1377.0;690.0;media
AL;ANADIA;municipio;815.0;57.0;18.0;43.0;28.0;12.0;26.0;media
AL;ARAPIRACA;municipio;4432.0;145.0;77.0;78.0;81.0;27.0;50.0;media
AL;COITE;municipio;1656.0;376.0;355.0;109.0;112.0;182.0;104.0;media
AL;CRAIBAS;municipio;2114.0;289.0;250.0;48.0;197.0;36.0;69.0;media
AL;FEIRA GRANDE;municipio;3705.0;77.0;21.0;64.0;17.0;58.0;;media
AL;GIRAU DO PONCIANO;municipio;5279.0;265.0;216.0;99.0;166.0;51.0;78.0;media
AL;JUNQUEIRO;municipio;2954.0;164.0;14.0;162.0;52.0;113.0;;media
AL;LAGOA DA CANOA;municipio;1393.0;37.0;13.0;33.0;18.0;21.0;;media
AL;LIMOEIRO DE ANADIA;municipio;4759.0;76.0;14.0;71.0;31.0;37.0;11.0;media
AL;OLHO D' AGUA GRANDE;municipio;1112.0;365.0;354.0;173.0;86.0;171.0;114.0;media
AL;MATA ALAGOANA;mesorregiao;19212.0;;;1120.0;1738.0;1413.0;441.0;media
AL;MATA ALAGOANA;microrregiao;11640.0;;;738.0;814.0;864.0;153.0;media
AL;ATALAIA;municipio;617.0;;;28.0;157.0;94.0;;media
AL;BRANQUINHA;municipio;165.0;;;24.0;24.0;22.0;;media
AL;CAJUEIRO;municipio;80.0;;;74.0;40.0;74.0;;media
AL;CAPELA;municipio;503.0;;;23.0;61.0;49.0;;media
AL;CHÃ PRETA;municipio;1124.0;;;15.0;16.0;16.0;;media
AL;COLONIA LEOPOLDINA;municipio;320.0;;;21.0;24.0;30.0;;media
AL;FLEXEIRAS;municipio;127.0;;;53.0;44.0;44.0;;media
AL;I BATEGUARA;municipio;1015.0;;;15.0;33.0;23.0;14.0;media
AL;.JACUIPE;municipio;213.0;;;36.0;26.0;38.0;;media
AL;.JOAQUIM GOMES;municipio;796.0;;;37.0;42.0;40.0;;media
AL;.JUNDIA;municipio;94.0;;;20.0;23.0;28.0;;media
AL;MESSIAS;municipio;25.0;;;18.0;15.0;17.0;;media
AL;MURICI;municipio;137.0;;;57.0;55.0;55.0;;media
AL;NOVO LINO;municipio;287.0;;;43.0;30.0;47.0;;media
AL;PINDOBA;municipio;480.0;;;15.0;27.0;22.0;16.0;media
AL;SANTANA;municipio;1063.0;;;21.0;10.0;23.0;;media
AL;SÃO JOSE DA LA;municipio;304.0;;;61.0;50.0;67.0;;media
AL;UNIÃO DOS PALMARES;municipio;2489.0;;;86.0;113.0;96.0;43.0;media
AL;VIÇOSA;municipio;1801.0;;;91.0;24.0;79.0;24.0;media
AL;LITORAL NORTE ALAGOANO;microrregiao;3723.0;;;295.0;325.0;274.0;103.0;media
AL;BARRA DE SANTO ANTONIO;municipio;134.0;;;10.0;17.0;17.0;;media
