_uf;_label;_level;estab_total;area_ha_total;estab_menos_1ha;area_ha_menos_1ha;estab_1_a_2ha;area_ha_1_a_2ha;confianca
AC;TOTAIS;total;35049.0;5234764.0;191.0;64.0;479.0;564.0;alta
AC;ACRE;mesorregiao;35049.0;5234764.0;191.0;64.0;479.0;564.0;alta
AC;ALTO JURUA;microrregiao;13909.0;2441804.0;178.0;60.0;405.0;484.0;alta
AC;CRUZEIRO;municipio;6.0;446502.0;174.0;59.0;341.0;409.0;alta
AC;FE(.JO;municipio;2045.0;1339690.0;;;;;alta
AC;MANCIO LIMA;municipio;1093.0;77338.0;;;61.0;71.0;alta
AC;T ARAUACA;municipio;4328.0;578272.0;;;;;alta
AC;ALTO PURUS;microrregiao;21140.0;2792959.0;13.0;;74.0;79.0;alta
AC;ASSIS BRASIL;municipio;167.0;14960.0;;;;;alta
AC;BRASILEIA;municipio;2482.0;248395.0;;;;;alta
AC;MANOEL URBANO;municipio;735.0;69951.0;;;;;alta
AC;PLACIDO DE CASTRO;municipio;3545.0;294448.0;;;;;alta
AC;SENADOR GUIOMARD;municipio;2264.0;227405.0;;;;;alta
AC;SENA MADUREIRA;municipio;4401.0;678234.0;;;;;alta
AC;XAPURI;municipio;1868.0;443678.0;;;;;alta
AC;TOTAIS;total;9588.0;;1012795.0;275439.0;;;alta
AC;ACRE;mesorregiao;9588.0;;1012795.0;275439.0;;;alta
AC;ALTO JURUA;microrregiao;5232.0;;376871.0;187650.0;;;alta
AC;CRUZEIRO DO SUL;municipio;2021.0;;24535.0;5676.0;;;alta
AC;FEIJO;municipio;352.0;;252345.0;175614.0;;;alta
AC;MANCIO LIMA;municipio;353.0;;6417.0;2400.0;;;alta
AC;TARAUACA;municipio;2506.0;;93573.0;3960.0;;;alta
AC;ALTO PURUS;microrregiao;4356.0;;635924.0;87788.0;;;alta
AC;ASSIS BRASIL;municipio;39.0;;3670.0;600.0;;;alta
AC;BRASILEIA;municipio;181.0;;23763.0;13729.0;;;alta
AC;MANOEL URBANO;municipio;212.0;;21010.0;1044.0;;;alta
AC;PLACIDO DE CASTRO;municipio;445.0;;71303.0;4620.0;;;alta
AC;SENADOR GUIOMARD;municipio;211.0;;18913.0;3350.0;;;alta
AC;SENA MADUREIRA;municipio;2077.0;;112899.0;10185.0;;;alta
AC;XAPURI;municipio;530.0;;185694.0;28023.0;;;alta
AL;TOTAIS;total;142774.0;2363772.0;43898.0;26927.0;28224.0;40813.0;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;121965.0;1373390.0;38145.0;23981.0;25358.0;36913.0;media
AL;SERTÃO ALAGO ANO;microrregiao;26625.0;303556.0;6971.0;4492.0;5863.0;8660.0;media
AL;AGUA BRANCA;municipio;8362.0;50246.0;3598.0;2201.0;2056.0;2984.0;media
AL;CANAPI;municipio;4277.0;59145.0;407.0;304.0;878.0;1333.0;media
AL;DELMIRO GOUVEIA;municipio;1041.0;42843.0;141.0;95.0;160.0;235.0;media
AL;INHAPI;municipio;285.0;30781.0;1391.0;919.0;1175.0;1742.0;media
AL;MATA GRANDE;municipio;5613.0;56193.0;1100.0;750.0;1243.0;1840.0;media
AL;OLHO D' AGUA DO CASADO;municipio;910.0;27881.0;204.0;131.0;198.0;295.0;media
AL;PIRANHAS;municipio;1137.0;36465.0;130.0;89.0;153.0;228.0;media
AL;BATALHA;microrregiao;26616.0;421262.0;4265.0;2986.0;5236.0;7734.0;alta
AL;BATALHA;municipio;408.0;28766.0;22.0;12.0;35.0;52.0;alta
AL;BELO MONTE;municipio;778.0;27974.0;115.0;84.0;122.0;180.0;alta
AL;CARNEIROS;municipio;962.0;9857.0;176.0;105.0;207.0;310.0;alta
AL;DOIS RIACHOS;municipio;1308.0;13724.0;197.0;146.0;292.0;437.0;alta
AL;.JACARE DOS HOMENS;municipio;201.0;15306.0;18.0;11.0;;12.0;alta
AL;.JARAMATAIA;municipio;151.0;9749.0;;;30.0;46.0;alta
AL;MA JOR IS;municipio;2115.0;42585.0;397.0;305.0;375.0;539.0;alta
AL;MARAVILHA;municipio;2044.0;29838.0;333.0;224.0;386.0;566.0;alta
AL;MONTEIROPOLIS;municipio;562.0;8858.0;103.0;83.0;156.0;222.0;alta
AL;OLHO D' AGUA DAS FLORES;municipio;1231.0;12710.0;229.0;151.0;265.0;388.0;alta
AL;OLIVENÇA;municipio;1867.0;16185.0;425.0;288.0;402.0;588.0;alta
AL;OURO BRANCO;municipio;1536.0;17302.0;170.0;124.0;307.0;456.0;alta
AL;PALESTINA;municipio;307.0;25.0;99.0;64.0;79.0;117.0;alta
AL;PÃO DE AÇUCAR;municipio;2109.0;52561.0;545.0;378.0;441.0;628.0;alta
AL;POÇO DAS TRINCHEIRAS;municipio;2025.0;22165.0;408.0;269.0;406.0;609.0;alta
AL;SANTANA DO IPANEMA;municipio;3217.0;36519.0;571.0;385.0;586.0;870.0;alta
AL;SÃO jOSE DA TAPERA;municipio;4618.0;52322.0;400.0;307.0;1018.0;1528.0;alta
AL;SENADOR RUI PALMEIRA;municipio;1177.0;22807.0;53.0;38.0;120.0;179.0;alta
AL;PALMEIRA DOS INDIOS;microrregiao;19114.0;230310.0;6351.0;4045.0;4177.0;6030.0;media
AL;CACIMBINHAS;municipio;1466.0;30596.0;148.0;115.0;379.0;549.0;media
AL;IGACI;municipio;5540.0;32673.0;2292.0;502.0;1267.0;1804.0;media
AL;MARIBONDO;municipio;359.0;15469.0;17.0;12.0;13.0;19.0;media
AL;MAR VERMELHO;municipio;551.0;9860.0;82.0;53.0;116.0;175.0;media
AL;MINADOR DO NEGRÃO;municipio;758.0;22712.0;45.0;36.0;122.0;181.0;media
AL;PALMEIRA DOS INDIOS;municipio;6855.0;50319.0;2282.0;1511.0;1773.0;2571.0;media
AL;PAULO .JACINTO;municipio;1156.0;11213.0;675.0;335.0;130.0;180.0;media
AL;OUEBRANGULO;municipio;706.0;39676.0;15.0;12.0;93.0;137.0;media
AL;T ANOUE D' ARCA;municipio;1028.0;10781.0;463.0;264.0;181.0;261.0;media
AL;ARAPIRACA;microrregiao;40856.0;333294.0;17262.0;10473.0;8475.0;12208.0;media
AL;ANADIA;municipio;815.0;20485.0;234.0;157.0;135.0;188.0;media
AL;ARAPIRACA;municipio;4432.0;24598.0;1352.0;866.0;1153.0;1700.0;media
AL;COITE DO NOIA;municipio;1656.0;7133.0;527.0;364.0;420.0;604.0;media
AL;CRAIBAS;municipio;2114.0;19810.0;602.0;400.0;508.0;726.0;media
AL;FEIRA GRANDE;municipio;3705.0;15907.0;1667.0;983.0;830.0;1195.0;media
AL;GIRAU DO PONCIANO;municipio;5279.0;54972.0;2281.0;345.0;1136.0;1656.0;media
AL;jUNOUEIRO;municipio;2954.0;22027.0;1272.0;720.0;583.0;834.0;media
AL;LAGOA DA CANOA;municipio;1393.0;4666.0;671.0;375.0;306.0;441.0;media
AL;LIMOEIRO DE ANADIA;municipio;4759.0;28436.0;2297.0;1577.0;1033.0;1482.0;media
AL;TOTAIS;total;;262145.0;1432.0;513.0;354843.0;177.0;media
AL;SERTÃO E AGRESTE A LAGOA NO;mesorregiao;;163344.0;716.0;163.0;115740.0;52.0;media
AL;SERTÃO ALAGOANO;microrregiao;;33177.0;137.0;44.0;32032.0;;media
AL;AGUA BRANCA;municipio;;5064.0;18.0;;2843.0;;media
AL;CANAPI;municipio;;7941.0;33.0;;3256.0;;media
AL;DELMIRO GOUVEIA;municipio;;5546.0;39.0;;8726.0;2.0;media
AL;INHAPI;municipio;;3520.0;;;1125.0;;media
AL;MATA GRANDE;municipio;;6090.0;15.0;10.0;7297.0;;media
AL;OLHO D' AGUA DO CASADO;municipio;;1875.0;10.0;;1836.0;;media
AL;PIRANHAS;municipio;;3138.0;16.0;;6946.0;;media
AL;BATALHA;microrregiao;;59069.0;224.0;46.0;32466.0;15.0;media
AL;BATALHA;municipio;;6161.0;21.0;;3751.0;;media
AL;BELO MONTE;municipio;;2783.0;28.0;;1519.0;;media
AL;CARNEIROS;municipio;;878.0;;;;;media
AL;DOIS RIACHOS;municipio;;2224.0;;;543.0;;media
AL;JACARE DOS HOMENS;municipio;;2160.0;10.0;;3206.0;;media
AL;JARAMATAIA;municipio;;1209.0;10.0;;;;media
AL;MAJOR IS I CORO;municipio;;6359.0;25.0;;6818.0;;media
AL;MARAVILHA;municipio;;5131.0;12.0;;605.0;;media
AL;MONTEIROPOLIS;municipio;;1066.0;;;605.0;;media
AL;OLHO D' AGUA DAS FLORES;municipio;;2094.0;;;665.0;;media
AL;OLIVENCA;municipio;;2239.0;;;;;media
AL;OURO BRANCO;municipio;;2312.0;;;;;media
AL;PALESTINA;municipio;;327.0;;;;;media
AL;PÃO DE AÇUCAR;municipio;;7701.0;33.0;14.0;10154.0;;media
AL;POÇO DAS TRINCHEIRAS;municipio;;2887.0;;;117.0;;media
AL;SANTANA DO IPANEMA;municipio;;4261.0;15.0;;1512.0;;media
AL;SÃO .mse DA TAPERA;municipio;;5677.0;22.0;;968.0;;media
AL;SENADOR RUI PALMEIRA;municipio;;3591.0;10.0;;;;media
AL;PALMEIRA DOS INOIOS;microrregiao;;28807.0;162.0;25.0;16393.0;;media
AL;CACIMBINHAS;municipio;;3617.0;15.0;;3659.0;;media
AL;IGACI;municipio;;3610.0;15.0;;580.0;;media
AL;MARIBONDO;municipio;;2884.0;15.0;;2028.0;;media
AL;MAR VERMELHO;municipio;;1086.0;;;1857.0;;media
AL;MINADOR DO NEGRÃO;municipio;;3649.0;16.0;;1815.0;;media
AL;PALMEIRA DOS INDIOS;municipio;;5039.0;34.0;;2707.0;;media
AL;PAULO JACINTO;municipio;;1596.0;11.0;;605.0;;media
AL;QUEBRANGULO;municipio;;5034.0;41.0;;3140.0;;media
AL;TANQUE D' ARCA;municipio;;1070.0;;;;;media
AL;ARAPIRACA;microrregiao;;34400.0;143.0;36.0;26220.0;11.0;media
AL;ANADIA;municipio;;3223.0;12.0;;1961.0;;media
AL;ARAPIRACA;municipio;;1704.0;;;1784.0;;media
AL;COITE DO NOIA;municipio;;288.0;;;;;media
AL;CRAIBAS;municipio;;1874.0;;;2450.0;;media
AL;FEIRA GRANDE;municipio;;612.0;;;;;media
AL;GIRAU DO PONCIANO;municipio;;3571.0;17.0;10.0;7538.0;;media
AL;JUNQUEIRO;municipio;;2805.0;12.0;;2248.0;;media
AL;LAGOA DA CANOA;municipio;;390.0;;;;;media
AL;LIMOEIRO DE ANADIA;municipio;;2080.0;;;1790.0;;media
AL;MATA ALAGOANA;microrregiao;;861802.0;5369.0;2753.0;2644.0;;media
AL;MATA ALAGOANA;municipio;;471352.0;2470.0;1330.0;1647.0;;media
AL;LITORAL NORTE ALAGOANO;municipio;;185126.0;1475.0;716.0;635.0;;media
AL;PORTO CALVO;mesorregiao;;36398.0;373.0;215.0;93.0;;media
