_uf;_label;_level;estab_total;area_ha_total;inform_lav_permanente;area_ha_lav_permanente;inform_lav_temporaria;area_ha_lav_temporaria;inform_lav_temp_descanso;confianca
AC;TOTAIS;total;35049.0;5234764.0;11907.0;17054.0;23867.0;51665.0;14828.0;alta
AC;ACRE;microrregiao;35049.0;5234764.0;11907.0;17054.0;23867.0;51665.0;14828.0;alta
AC;ALTO JURUA;municipio;13909.0;2441804.0;3881.0;4578.0;7874.0;12448.0;5641.0;alta
AC;ALTO PURUS;municipio;21140.0;2792959.0;8026.0;12476.0;15993.0;39216.0;9187.0;alta
AC;INCLUSIVE TERRAS INAPROVE IT AYEI S;mesorregiao;;;;;;;;alta
AL;TOTAIS;total;142774.0;2363772.0;18091.0;59951.0;130970.0;938460.0;15311.0;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;121965.0;1373390.0;8727.0;14451.0;116080.0;421202.0;12703.0;media
AL;SERT ÂO ALAGOANO;microrregiao;26625.0;303556.0;1026.0;1536.0;25703.0;92103.0;3141.0;media
AL;AGUA BRANCA;municipio;8362.0;50246.0;710.0;268.0;8145.0;16712.0;1148.0;media
AL;CANAPI;municipio;4277.0;59145.0;;;4267.0;27686.0;280.0;media
AL;DELMIRO GOUVEIA;municipio;1041.0;42843.0;;273.0;931.0;5718.0;140.0;media
AL;INHAPI;municipio;5285.0;30781.0;;;5165.0;13022.0;451.0;media
AL;MATA GRANDE;municipio;5613.0;56193.0;130.0;110.0;5246.0;17873.0;667.0;media
AL;OLHO D' AGUA DO CASADO;municipio;910.0;27881.0;72.0;876.0;851.0;3976.0;181.0;media
AL;PIRANHAS;municipio;1137.0;36465.0;;;1098.0;7113.0;274.0;media
AL;BATALHA;microrregiao;26616.0;421262.0;932.0;1303.0;26344.0;152714.0;3156.0;media
AL;BATALHA;municipio;408.0;28766.0;;165.0;392.0;10827.0;58.0;media
AL;BELO MONTE;municipio;778.0;27974.0;38.0;53.0;776.0;8333.0;202.0;media
AL;CARNEIROS;municipio;962.0;9857.0;22.0;;957.0;4243.0;12.0;media
AL;DOIS RIACHOS;municipio;1308.0;13724.0;54.0;15.0;291.0;5889.0;102.0;media
AL;.JACARE DOS HOMENS;municipio;201.0;15306.0;197.0;5587.0;112.0;;;media
AL;.JARAMATAIA;municipio;151.0;9749.0;;;147.0;1701.0;82.0;media
AL;MA JOR ISIDORO;municipio;2115.0;42585.0;140.0;674.0;2097.0;18973.0;261.0;media
AL;MARAVILHA;municipio;2044.0;29838.0;97.0;50.0;1992.0;8453.0;249.0;media
AL;MONTEIROPOLIS;municipio;562.0;8858.0;21.0;;560.0;2231.0;131.0;media
AL;OLHO D' AGUA DAS FLORES;municipio;1231.0;12710.0;1231.0;5351.0;159.0;;;media
AL;OLIVENÇA;municipio;1867.0;16185.0;231.0;76.0;1859.0;7114.0;273.0;media
AL;OURO BRANCO;municipio;1536.0;17302.0;21.0;;1518.0;7789.0;110.0;media
AL;PALESTINA;municipio;307.0;2025.0;300.0;671.0;15.0;;;media
AL;PÃO DE AÇUCAR;municipio;2109.0;52561.0;27.0;28.0;2101.0;14890.0;268.0;media
AL;POÇO DAS TRINCHEIRAS;municipio;2025.0;22165.0;107.0;117.0;2006.0;7840.0;88.0;media
AL;SANTANA;municipio;3217.0;36519.0;124.0;82.0;3152.0;12971.0;298.0;media
AL;SENADOR RUI PALMEIRA;municipio;1177.0;22807.0;;;1162.0;9239.0;86.0;media
AL;PALMEIRA DOS INDIOS;microrregiao;19114.0;230310.0;3197.0;3625.0;17905.0;47705.0;1572.0;alta
AL;SELEM;municipio;695.0;7007.0;69.0;50.0;641.0;1485.0;65.0;alta
AL;CACIMBINHAS;municipio;1466.0;30596.0;160.0;183.0;1440.0;6419.0;143.0;alta
AL;IGACI;municipio;5540.0;32673.0;280.0;302.0;5443.0;11727.0;474.0;alta
AL;MARIBONOO;municipio;359.0;15469.0;134.0;309.0;172.0;687.0;73.0;alta
AL;MAR VERMELHO;municipio;551.0;9860.0;53.0;91.0;411.0;697.0;91.0;alta
AL;MINADOR DO NEGRÃO;municipio;758.0;22712.0;70.0;;736.0;6421.0;87.0;alta
