_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;confianca
AC;TOTAIS;total;115659.0;74007.0;53981.0;41652.0;;alta
AC;ACRE;mesorregiao;115659.0;74007.0;53981.0;41652.0;;alta
AC;ALTO JURUA;microrregiao;34459.0;23919.0;19205.0;10540.0;;alta
AC;CRUZEIRO;municipio;13007.0;9569.0;8042.0;3438.0;;alta
AC;FEIJO;municipio;8198.0;4948.0;4012.0;3250.0;;alta
AC;MANCIO LIMA;municipio;3397.0;2007.0;1419.0;1390.0;;alta
AC;T ARAUACA;municipio;9857.0;7395.0;5732.0;2462.0;;alta
AC;ALTO PURUS;microrregiao;81200.0;50088.0;34776.0;31112.0;;alta
AC;ASSIS SRAS I L;municipio;630.0;388.0;271.0;242.0;;alta
AC;BRASILEIA;municipio;10534.0;6649.0;4792.0;3885.0;;alta
AC;MANOEL URBANO;municipio;2462.0;1422.0;1003.0;1040.0;;alta
AC;PLACIDO DE CASTRO;municipio;12099.0;7550.0;5843.0;4549.0;;alta
AC;SENADOR GUIOMARD;municipio;10263.0;5812.0;3556.0;4451.0;;alta
AC;SENA MADUREIRA;municipio;16141.0;9999.0;6381.0;6142.0;;alta
AC;XAPURI;municipio;5898.0;3932.0;3118.0;1966.0;;alta
AC;TOTAIS;total;;;;123.0;;alta
AC;ACRE;mesorregiao;;;;123.0;;alta
AC;ALTO JURUA;microrregiao;;;;41.0;;alta
AC;CRUZEIRO DO SUL;municipio;;;;24.0;;alta
AC;FEIJO;municipio;;;;;;alta
AC;MANCIO LIMA;municipio;;;;;;alta
AC;TARAUACA;municipio;;;;;;alta
AC;ALTO PURUS;microrregiao;;;;82.0;;alta
AC;ASSIS BRASIL;municipio;;;;;;alta
AC;BRASILEIA;municipio;;;;;;alta
AC;MANOEL URBANO;municipio;;;;;;alta
AC;PLACIOO DE CASTRO;municipio;;;;11.0;;alta
AC;SENADOR GUIOMARD;municipio;;;;21.0;;alta
AC;SENA MADUREIRA;municipio;;;;20.0;;alta
AC;XAPURI;municipio;;;;;;alta
AM;TOTAIS;total;545077.0;319150.0;215593.0;225906.0;145399.0;baixa
AM;HILEIA AMAZONENSE;microrregiao;345490.0;197928.0;130258.0;147562.0;93435.0;baixa
AM;ALTO SOLIMÕES;municipio;63905.0;34752.0;21260.0;29153.0;17129.0;baixa
AM;JURUA;municipio;42450.0;25436.0;18182.0;17014.0;12670.0;baixa
AM;PURUS;municipio;67865.0;39855.0;26266.0;28010.0;16993.0;baixa
AM;MADEIRA;municipio;64065.0;38058.0;25393.0;26007.0;15831.0;baixa
AM;RIO NEGRO;municipio;29081.0;15529.0;10466.0;13552.0;9314.0;baixa
AM;SOLIMÔES-.JAPURA;municipio;78124.0;44298.0;28691.0;33826.0;21498.0;baixa
AM;TOTAIS;total;;;;1879.0;;baixa
AM;HlLEIA AMAZONENSE;microrregiao;;;;762.0;;baixa
AM;ALTO SOLIMÕES;municipio;;;;163.0;;baixa
AM;JURUA;municipio;;;;205.0;;baixa
AM;PURUS;municipio;;;;95.0;;baixa
AM;MADEIRA;municipio;;;;82.0;;baixa
AM;MANICORE;mesorregiao;;;;34.0;;baixa
AM;RIO NEGRO;municipio;;;;12.0;;baixa
AM;SOLIMÕES-JAPURA;municipio;;;;205.0;;baixa
