_uf;_label;_level;estab_total;num_pessoas_total;estab_menos_5;num_pessoas_menos_5;estab_5_a_10;num_pessoas_5_a_10;confianca
AC;TOTAIS;total;35049.0;115659.0;27155.0;60332.0;7066.0;44393.0;alta
AC;ACRE;mesorregiao;35049.0;115659.0;27155.0;60332.0;7066.0;44393.0;alta
AC;ALTO JURUA;microrregiao;13909.0;34459.0;12442.0;24508.0;1331.0;8102.0;alta
AC;CRUZEIRO DO SUL;municipio;6443.0;13007.0;6095.0;10795.0;331.0;1913.0;alta
AC;FEIJO;municipio;2045.0;8198.0;1444.0;3889.0;522.0;3286.0;alta
AC;MANC(O LIMA;municipio;1093.0;3397.0;866.0;1914.0;210.0;1293.0;alta
AC;TARAUACA;municipio;4328.0;9857.0;4037.0;7910.0;268.0;1610.0;alta
AC;ALTO PURUS;microrregiao;21140.0;81200.0;14713.0;35824.0;5735.0;36291.0;alta
AC;ASSIS BRASIL;municipio;167.0;630.0;117.0;305.0;48.0;302.0;alta
AC;BRASILEIA;municipio;2482.0;10534.0;1572.0;4158.0;830.0;5289.0;alta
AC;MANOEL URBANO;municipio;735.0;2462.0;544.0;1233.0;182.0;1128.0;alta
AC;PLACIDO DE CASTRO;municipio;3545.0;12099.0;2769.0;6590.0;680.0;4281.0;alta
AC;SENADOR GUIOMARD;municipio;2264.0;10263.0;1232.0;3285.0;945.0;5980.0;alta
AC;SENA MADUREIRA;municipio;4401.0;16141.0;3186.0;7699.0;1105.0;6835.0;alta
AC;XAPURI;municipio;1868.0;5898.0;1502.0;3512.0;338.0;38.0;alta
AL;TOTAIS;total;142774.0;624595.0;106091.0;226376.0;28539.0;179242.0;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;121965.0;419414.0;92972.0;200167.0;24607.0;153791.0;media
AL;SERTÃO ALAGOANO;microrregiao;6625.0;80719.0;21304.0;44487.0;4753.0;29425.0;media
AL;AGUA BRANCA;municipio;362.0;21579.0;7242.0;14513.0;1055.0;6349.0;media
AL;CANAPI;municipio;14335.0;3154.0;6433.0;968.0;6091.0;;media
AL;DELMIRO GOUVEIA;municipio;2980.0;869.0;1737.0;148.0;952.0;;media
AL;INHAPI;municipio;16639.0;4164.0;9049.0;6.0;6251.0;;media
AL;MATA GRANDE;municipio;;17297.0;4492.0;9630.0;1005.0;6229.0;media
AL;OLHO D' AGUA;municipio;;3103.0;677.0;1552.0;215.0;1292.0;media
AL;PIRANHAS;municipio;;4786.0;706.0;1573.0;356.0;2261.0;media
AL;BATALHA;microrregiao;;;;;;;media
AL;BATALHA;municipio;408.0;3460.0;170.0;451.0;145.0;940.0;media
AL;BELO MONTE;municipio;778.0;5742.0;259.0;790.0;372.0;2435.0;media
AL;CARNEIROS;municipio;962.0;2490.0;837.0;1684.0;117.0;717.0;media
AL;DOIS RIACHOS;municipio;1308.0;4554.0;974.0;2387.0;313.0;11897.0;media
AL;.JACARE DOS HOMENS;municipio;201.0;335.0;19.0;221.0;43.0;291.0;media
AL;.JARAMATAIA;municipio;151.0;996.0;81.0;235.0;40.0;253.0;media
AL;MAJOR ISIDORO;municipio;2115.0;9154.0;1328.0;3172.0;650.0;4017.0;media
AL;MARAVILHA;municipio;2044.0;6368.0;1591.0;3240.0;410.0;2568.0;media
AL;MONTEIROPOLIS;municipio;562.0;1630.0;482.0;1111.0;76.0;444.0;media
AL;OLHO D;municipio;1231.0;3821.0;990.0;2123.0;204.0;1261.0;media
AL;OLIVENÇA;municipio;867.0;5411.0;1536.0;;292.0;841.0;media
AL;OURO BRANCO;municipio;1536.0;5523.0;1114.0;2416.0;350.0;2265.0;media
AL;PALESTINA;municipio;307.0;1056.0;237.0;588.0;65.0;406.0;media
AL;PÃO DE ACUCAR;municipio;2109.0;7795.0;1509.0;3826.0;549.0;3322.0;media
AL;POÇO DAS TRINCHEIRAS;municipio;2025.0;4417.0;1849.0;3293.0;166.0;983.0;media
AL;SANTANA DO IPANEMA;municipio;3217.0;11417.0;2408.0;5389.0;691.0;4345.0;media
AL;SÃO .JOSE DA TAPERA;municipio;4618.0;13192.0;3856.0;8312.0;713.0;;media
AL;SENADOR RUI PALMEIRA;municipio;1177.0;5243.0;707.0;1734.0;379.0;2371.0;media
AL;PALMEIRA DOS INDIOS;microrregiao;19114.0;67431.0;14719.0;32075.0;3604.0;22522.0;media
AL;SELEM;municipio;695.0;2347.0;525.0;1099.0;141.0;899.0;media
AL;CACIMBINHAS;municipio;1466.0;7744.0;814.0;2321.0;523.0;3321.0;media
AL;IGACI;municipio;5540.0;18042.0;4338.0;6937.0;1028.0;6519.0;media
AL;MARIBONDO;municipio;359.0;2251.0;183.0;422.0;120.0;776.0;media
AL;MAR VERMELHO;municipio;551.0;1225.0;513.0;786.0;25.0;149.0;media
AL;MI NAOOR DO NEGRÃO;municipio;758.0;3785.0;490.0;1176.0;175.0;1111.0;media
AL;PALMEIRA DOS INOIOS;municipio;6855.0;20057.0;5740.0;12688.0;1027.0;6208.0;media
AL;PAULO .JACINTO;municipio;1156.0;4777.0;901.0;1743.0;160.0;1031.0;media
AL;QUEBRANGULO;municipio;706.0;3479.0;443.0;974.0;170.0;1090.0;media
AL;TANQUE D' ARCA;municipio;28.0;;;;;;media
AL;ARAPIRACA;microrregiao;40856.0;148588.0;29981.0;65456.0;9149.0;57720.0;media
AL;ANADIA;municipio;815.0;3439.0;613.0;1501.0;158.0;965.0;media
AL;ARAPIRACA;municipio;4432.0;15936.0;3261.0;6542.0;954.0;6056.0;media
AL;COITE;municipio;1656.0;6053.0;1186.0;2724.0;410.0;2635.0;media
AL;CRAIBAS;municipio;2114.0;7101.0;1586.0;2982.0;424.0;2794.0;media
AL;FEl RA GRANDE;municipio;3705.0;2653.0;6144.0;964.0;5995.0;;media
AL;GIRAU DO PONCIANO s;municipio;5279.0;19259.0;3885.0;8558.0;1206.0;;media
AL;JUNQUEIRO;municipio;2954.0;14230.0;1703.0;31175.0;952.0;6261.0;media
AL;LAGOA DA CANOA;municipio;1393.0;4296.0;1156.0;2379.0;189.0;1176.0;media
AL;LIMOEIRO DE ANADIA;municipio;4759.0;14658.0;3921.0;780.0;4644.0;;media
AL;OLHO D' AGUA GRANDE;municipio;1112.0;3452.0;885.0;1937.0;209.0;1309.0;media
AL;MATA ALAGOANA;mesorregiao;;12064.0;24139.0;3708.0;23980.0;;alta
