_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;val_9;confianca
AC;TOTAIS;total;3097.0;3470.0;60645.0;54.0;61.0;1242.0;135.0;153.0;5133.0;alta
AC;ACRE;mesorregiao;3097.0;3470.0;60645.0;54.0;61.0;1242.0;135.0;153.0;5133.0;alta
AC;ALTO JURUA;microrregiao;175.0;195.0;9790.0;;;234.0;;;;alta
AC;CRUZEIRO DO SUL;municipio;27.0;28.0;657.0;;;229.0;;;;alta
AC;FEIJO;municipio;43.0;50.0;6365.0;;;;;;;alta
AC;MANCIO LIMA;municipio;;;1135.0;;;;;;;alta
AC;TARAUACA;municipio;101.0;110.0;1633.0;;;;;;;alta
AC;ALTO PURUS;microrregiao;2922.0;3275.0;50855.0;46.0;53.0;1008.0;135.0;153.0;5133.0;alta
AC;ASSIS BRASIL;municipio;;;34.0;;;;;;;alta
AC;BRASILEIA;municipio;599.0;661.0;8022.0;;;;;;;alta
AC;MANOEL URBANO;municipio;22.0;27.0;2005.0;;;;;;;alta
AC;PLACIDO OE CASTRO;municipio;581.0;724.0;6595.0;;;144.0;72.0;90.0;866.0;alta
AC;SENADOR GUIOMARO;municipio;269.0;291.0;5046.0;;10.0;240.0;;;315.0;alta
AC;SENA MADUREIRA;municipio;123.0;137.0;1550.0;18.0;20.0;333.0;30.0;30.0;1034.0;alta
AC;XAPURI;municipio;679.0;714.0;13658.0;;;94.0;29.0;29.0;900.0;alta
AC;INCLUSIVE os SEM DECLARAÇÃO OE CAPACIDADE;municipio;;;;;;;;;;alta
AL;TOTAIS;total;808.0;1032.0;54307.0;539.0;707.0;69603.0;979.0;113.0;101322.0;media
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;776.0;993.0;51238.0;504.0;664.0;62860.0;350.0;422.0;43515.0;media
AL;SERTÃO ALAGOANO;microrregiao;84.0;88.0;4124.0;7.0;1317.0;3484.0;56.0;63.0;6744.0;media
AL;AGUA BRANCA;municipio;;10.0;132.0;25.0;32.0;1115.0;;;80.0;media
AL;CANAPI;municipio;;;115.0;29.0;32.0;580.0;35.0;42.0;5875.0;media
AL;DELMIRO GOUVEIA;municipio;;;70.0;;;45.0;;;246.0;media
AL;INHAPI;municipio;;;;;;15.0;;;;media
AL;MATA GRANDE;municipio;41.0;43.0;780.0;29.0;34.0;221.0;14.0;14.0;318.0;media
AL;OLHO;municipio;;;85.0;;14.0;301.0;;;;media
AL;PIRANHAS;municipio;28.0;29.0;2942.0;19.0;19.0;1207.0;;;225.0;media
AL;BATALHA;microrregiao;351.0;436.0;23247.0;260.0;357.0;43577.0;137.0;190.0;17371.0;media
AL;BATALHA;municipio;57.0;90.0;5553.0;;13.0;318.0;39.0;60.0;145.0;media
AL;BELO MONTE;municipio;36.0;64.0;7706.0;;;;;;120.0;media
AL;CARNEIROS;municipio;;;392.0;62.0;69.0;3044.0;;;;media
AL;DOIS RIACHOS;municipio;32.0;33.0;881.0;5.0;;531.0;;;175.0;media
AL;.JACARE DOS HOMENS;municipio;;;700.0;;;60.0;;;;media
AL;.JARAMATAIA;municipio;;2.0;400.0;;;110.0;;;;media
AL;MA JOR ISIDORO;municipio;;;820.0;;;50.0;;;768.0;media
AL;MARAVILHA;municipio;29.0;29.0;465.0;;;;;;;media
AL;MONTEIROPOLIS;municipio;;;22.0;;;1105.0;;;1682.0;media
AL;OLHO D' AGUA DAS FLORES;municipio;;;63.0;;;40.0;;;;media
AL;OLIVENÇA;municipio;16.0;16.0;920.0;31.0;101.0;34368.0;;;;media
AL;OURO BRANCO;municipio;21.0;24.0;486.0;25.0;25.0;531.0;;;262.0;media
AL;PALESTINA;municipio;;;;;;;;;;media
AL;PÃO DE AÇUCAR;municipio;12.0;23.0;1647.0;;;890.0;50.0;68.0;11018.0;media
AL;POÇO DAS TRINCHEIRAS;municipio;;;54.0;19.0;19.0;406.0;;;310.0;media
AL;SANTANA DO IPANEMA;municipio;;;242.0;75.0;79.0;1384.0;;;415.0;media
AL;SÃO JOSE DA TAPERA;municipio;62.0;63.0;1762.0;;;346.0;15.0;20.0;1390.0;media
AL;SENADOR RUI PALMEIRA;municipio;40.0;42.0;1134.0;16.0;18.0;389.0;;;80.0;media
AL;PALMEIRA DOS INOIOS;microrregiao;158.0;218.0;7020.0;26.0;48.0;9377.0;14.0;17.0;;media
AL;CACIMBINHAS;municipio;;17.0;437.0;;;;;;600.0;media
AL;IGACI;municipio;64.0;99.0;4619.0;;14.0;700.0;;;623.0;media
AL;MARIBONOO;municipio;;2.0;50.0;;;;;;;media
AL;MAR VERMELHO;municipio;;;;;;;;;;media
AL;MINADOR DO NEGRÃO;municipio;;13.0;210.0;;;60.0;;;10.0;media
AL;PALMEIRA DOS INOIOS;municipio;12.0;15.0;740.0;12.0;25.0;8554.0;;;491.0;media
AL;PAULO .JACINTO;municipio;;;58.0;;;;;;102.0;media
