_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;val_8;val_9;val_10;val_11;confianca
AC;TOTAIS;total;386.0;113.0;140.0;245.0;280.0;91.0;102.0;781.0;915.0;3035.0;3383.0;alta
AC;ACRE;mesorregiao;386.0;113.0;140.0;245.0;280.0;91.0;102.0;781.0;915.0;3035.0;3383.0;alta
AC;ALTO JURUA;microrregiao;20.0;;;15.0;19.0;;;71.0;77.0;2223.0;2454.0;alta
AC;CRUZEIRO;municipio;13.0;;;12.0;16.0;;;36.0;37.0;1454.0;1608.0;alta
AC;FEIJO;municipio;;2.0;;;;;;;;122.0;157.0;alta
AC;MANCIO LIMA;municipio;;;;;;;;31.0;33.0;314.0;338.0;alta
AC;TARAUACA;municipio;;;;;;;;;;333.0;351.0;alta
AC;ALTO PURUS;microrregiao;366.0;107.0;134.0;230.0;261.0;84.0;94.0;710.0;838.0;812.0;929.0;alta
AC;ASSIS BRASIL;municipio;;;;;;;;;;18.0;18.0;alta
AC;BRASILEIA;municipio;32.0;12.0;12.0;18.0;21.0;10.0;11.0;281.0;304.0;94.0;102.0;alta
AC;MANOEL URBANO;municipio;;;;;;;;;;104.0;115.0;alta
AC;PLACIOO DE CASTRO;municipio;44.0;15.0;17.0;31.0;35.0;;;25.0;28.0;16.0;17.0;alta
AC;SENADOR GUIOMARO;municipio;71.0;28.0;33.0;41.0;45.0;10.0;12.0;;;;;alta
AC;SENA MADUREIRA;municipio;16.0;;;13.0;19.0;;;28.0;45.0;185.0;205.0;alta
AC;XAPURI;municipio;32.0;;;28.0;32.0;;;87.0;111.0;108.0;136.0;alta
AC;CAMIONETAS, PERUAS, JIPES, ETC;municipio;;;;;;;;;;;;alta
AL;TOTAIS;total;3070.0;872.0;3583.0;1380.0;1775.0;585.0;1255.0;14087.0;15666.0;111.0;116.0;baixa
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;1423.0;476.0;625.0;765.0;808.0;348.0;446.0;13905.0;15397.0;86.0;91.0;baixa
AL;SERTÃO ALAGOANO;microrregiao;123.0;13.0;19.0;67.0;71.0;54.0;58.0;3395.0;3683.0;12.0;16.0;baixa
AL;AGUA BRANCA;municipio;13.0;;;;;;;197.0;205.0;;;baixa
AL;CANAPI;municipio;22.0;;;;;13.0;13.0;1053.0;1143.0;;;baixa
AL;DELMIRO GOUVEIA;municipio;21.0;;;20.0;22.0;;;140.0;165.0;;;baixa
AL;INHAPI;municipio;17.0;;;11.0;11.0;;;687.0;751.0;;;baixa
AL;MATA GRANDE;municipio;32.0;;;;;23.0;27.0;886.0;929.0;;;baixa
AL;OLHO D' AGUA DO CASADO;municipio;;;;;;;;127.0;146.0;;;baixa
AL;PIRANHAS;municipio;11.0;;;;;;;305.0;344.0;;;baixa
AL;BATALHA;microrregiao;331.0;77.0;81.0;163.0;176.0;124.0;150.0;6922.0;7727.0;29.0;30.0;baixa
AL;BATALHA;municipio;36.0;;;31.0;32.0;;;183.0;214.0;;;baixa
AL;BELO MONTE;municipio;23.0;18.0;19.0;;;;;151.0;161.0;;;baixa
AL;CARNEIROS;municipio;17.0;;;13.0;15.0;;;249.0;290.0;;;baixa
AL;DOIS RIACHOS;municipio;;;;;;;;402.0;445.0;;;baixa
AL;JACARE DOS HOMENS;municipio;;;;;;;;56.0;76.0;;;baixa
AL;JARAMATAIA;municipio;;;2.0;;;;;48.0;59.0;;;baixa
AL;MAJOR ISIDORO;municipio;41.0;7.0;;23.0;23.0;15.0;19.0;643.0;738.0;10.0;10.0;baixa
AL;MARAVILHA;municipio;18.0;;;;;;11.0;458.0;519.0;;;baixa
AL;MONTEIROPOLIS;municipio;;;;;;;;119.0;168.0;;;baixa
AL;OLHO;municipio;;;;;;;;338.0;385.0;;;baixa
AL;OLIVENÇA;municipio;13.0;11.0;12.0;;;;;468.0;525.0;;;baixa
AL;OURO BRANCO;municipio;44.0;;;21.0;22.0;23.0;28.0;271.0;320.0;;;baixa
AL;PALESTINA;municipio;;;;;;;;52.0;59.0;;;baixa
AL;PÃO DE ACUCAR;municipio;23.0;;;18.0;20.0;;10.0;460.0;521.0;;;baixa
AL;POÇO DAS TRINCHÉIRAS;municipio;18.0;;;;;3.0;;374.0;416.0;;;baixa
AL;SANTANA DO IPANEMA;municipio;36.0;;;10.0;12.0;27.0;28.0;622.0;686.0;;;baixa
AL;SÃO jOSE DA TAPERA;municipio;18.0;;;;7.0;13.0;15.0;1471.0;1555.0;;;baixa
AL;SENADOR RUI PALMEIRA;municipio;11.0;;;;;;;527.0;590.0;;;baixa
AL;PALMEIRA DOS INOIOS;microrregiao;208.0;59.0;68.0;116.0;125.0;65.0;79.0;2126.0;2411.0;;;baixa
AL;CACIMBINHAS;municipio;24.0;;;15.0;17.0;;13.0;252.0;289.0;;;baixa
AL;lGACI;municipio;42.0;16.0;19.0;14.0;17.0;22.0;24.0;623.0;681.0;;;baixa
AL;MARIBONDO;municipio;29.0;14.0;18.0;14.0;15.0;;;;;;;baixa
AL;MAR VERMELHO;municipio;11.0;;;;;;;;;;;baixa
AL;MI NAOOR;municipio;;;;;3.0;;;337.0;428.0;;;baixa
AL;PALMEIRA DOS INDIOS;municipio;41.0;12.0;12.0;25.0;25.0;13.0;16.0;827.0;908.0;;;baixa
AL;PAULO .JACINTO;municipio;;;;;611.0;;;20.0;23.0;;;baixa
AL;QUEBRANGULO;municipio;39.0;;;35.0;35.0;;;53.0;67.0;;;baixa
AL;TANQUE O'ARCA;municipio;;;;;;;;;;;;baixa
AL;ARAPIRACA;microrregiao;697.0;289.0;399.0;405.0;421.0;79.0;125.0;1307.0;1413.0;31.0;31.0;baixa
AL;ANAOIA;municipio;30.0;19.0;23.0;14.0;14.0;;;20.0;23.0;;;baixa
AL;ARAPIRACA;municipio;187.0;;61.0;137.0;140.0;11.0;15.0;165.0;174.0;;;baixa
AL;COITE;municipio;33.0;11.0;11.0;21.0;21.0;2.0;;106.0;107.0;;;baixa
AL;CRAIBAS;municipio;95.0;14.0;18.0;77.0;84.0;;;211.0;238.0;;;baixa
AL;FEIRA GRANDE;municipio;69.0;;;60.0;60.0;;;105.0;112.0;;;baixa
AL;GIRAU DO PONCIANO;municipio;48.0;15.0;16.0;20.0;21.0;14.0;26.0;166.0;188.0;;;baixa
AL;JUNQUEIRO;municipio;92.0;77.0;134.0;24.0;26.0;4.0;;40.0;42.0;;;baixa
AL;LAGOA DA CANOA;municipio;16.0;;;;;;;30.0;31.0;;;baixa
