_uf;_label;_level;inform_bens;valor_bens_mil_cr;inform_investimentos;valor_investimentos_mil_cr;inform_financiamentos;valor_financiamentos_mil_cr;confianca
AC;TOTAIS;total;35049.0;2975753.0;9519.0;109134.0;168.0;26760.0;alta
AC;ACRE;mesorregiao;35049.0;2975753.0;9519.0;109134.0;168.0;26760.0;alta
AC;ALTO JURUA;microrregiao;13909.0;409216.0;2214.0;13165.0;56.0;2685.0;alta
AC;CRUZEIRO DO SUL;municipio;6443.0;118384.0;660.0;3305.0;24.0;1663.0;alta
AC;FEIJO;municipio;2045.0;172314.0;704.0;6450.0;;390.0;alta
AC;MANCIO LIMA;municipio;1093.0;25669.0;317.0;908.0;25.0;428.0;alta
AC;TARAUACA;municipio;4328.0;92848.0;533.0;2501.0;;203.0;alta
AC;ALTO PURUS;microrregiao;21140.0;2566536.0;7305.0;95988.0;112.0;24074.0;alta
AC;ASSIS BRASIL;municipio;167.0;10768.0;94.0;306.0;;18.0;alta
AC;BRASILEIA;municipio;2482.0;222279.0;1151.0;8053.0;21.0;562.0;alta
AC;MANOEL URBANO;municipio;735.0;15881.0;147.0;255.0;;98.0;alta
AC;PLACIDO DE CASTRO;municipio;3545.0;267581.0;1170.0;4352.0;21.0;777.0;alta
AC;SENADOR GUIOMARD;municipio;2264.0;269530.0;1337.0;14252.0;12.0;237.0;alta
AC;SENA MADUREIRA;municipio;4401.0;181954.0;517.0;6828.0;24.0;4071.0;alta
AC;XAPURI;municipio;1868.0;328792.0;878.0;7049.0;;510.0;alta
AL;TOTAIS;total;142773.0;20756335.0;28221.0;357366.0;10604.0;349054.0;media
AL;SERT,ÂO E AGRESTE ALAGOANO;mesorregiao;121965.0;8958361.0;23939.0;193036.0;8898.0;99664.0;media
AL;SERTÃO ALAGOANO;microrregiao;26625.0;929603.0;5167.0;22689.0;1147.0;9100.0;media
AL;AGUA BRANCA;municipio;8362.0;118226.0;1115.0;3326.0;160.0;1254.0;media
AL;CANAPI;municipio;4277.0;224494.0;1366.0;6886.0;313.0;2699.0;media
AL;DELMIRO GOUVEIA;municipio;10411.0;91187.0;397.0;4538.0;121.0;1648.0;media
AL;INHAPI;municipio;5285.0;120564.0;354.0;1407.0;164.0;841.0;media
AL;MATA GRANDE;municipio;5613.0;229236.0;1613.0;4571.0;217.0;1467.0;media
AL;OLHO D' AGUA DO CASADO;municipio;910.0;75017.0;71.0;822.0;52.0;392.0;media
AL;PIRANHAS;municipio;1137.0;70877.0;251.0;1135.0;120.0;796.0;media
AL;BATALHA;microrregiao;26616.0;8180.0;55754.0;2497.0;19188.0;;media
AL;BATALHA;municipio;408.0;228891.0;192.0;8725.0;133.0;2032.0;media
AL;BELO MONTE;municipio;778.0;171865.0;413.0;4872.0;180.0;1417.0;media
AL;CARNEIROS;municipio;962.0;50395.0;309.0;1270.0;73.0;446.0;media
AL;DOIS RIACHOS;municipio;1308.0;67643.0;414.0;2193.0;162.0;883.0;media
AL;JACARE DOS HOMENS;municipio;201.0;138337.0;67.0;1664.0;20.0;427.0;media
AL;JARAMATAIA;municipio;151.0;55736.0;29.0;711.0;25.0;376.0;media
AL;MAJOR ISIDORO;municipio;2115.0;275798.0;62.0;5088.0;115.0;1257.0;media
AL;MARAVILHA;municipio;2044.0;135542.0;347.0;1469.0;149.0;824.0;media
AL;MONTEIROPOLIS;municipio;562.0;69004.0;198.0;916.0;36.0;388.0;media
AL;OLHO;municipio;1231.0;65091.0;339.0;1256.0;83.0;22.0;media
AL;OLIVENÇA;municipio;1867.0;81138.0;521.0;2518.0;185.0;721.0;media
AL;OURO BRANCO;municipio;1536.0;62802.0;468.0;3295.0;72.0;2451.0;media
AL;PALESTINA;municipio;307.0;13684.0;71.0;361.0;11.0;158.0;media
AL;PÃO DE AÇUCAR;municipio;2109.0;236327.0;412.0;6802.0;166.0;1878.0;media
AL;POÇO DAS TRINCHEIRAS;municipio;2025.0;89687.0;93.0;2436.0;183.0;1100.0;media
AL;SANTANA DO IPANEMA;municipio;3217.0;167261.0;1447.0;5018.0;300.0;1590.0;media
AL;SÂO JOSE DA TAPERA;municipio;4618.0;195232.0;1334.0;4349.0;404.0;1943.0;media
AL;SENADOR RUI PALMEIRA;municipio;1177.0;76646.0;464.0;2803.0;200.0;869.0;media
AL;PALMEIRA DOS INDIOS;microrregiao;19114.0;1944071.0;4639.0;39946.0;935.0;12439.0;media
AL;CACIMBINHAS;municipio;1466.0;211718.0;192.0;3655.0;104.0;1719.0;media
AL;IGACI;municipio;5540.0;210457.0;648.0;3883.0;240.0;2008.0;media
AL;MARIBONDO;municipio;359.0;139073.0;126.0;2890.0;44.0;507.0;media
AL;MAR VERMELHO;municipio;551.0;73804.0;197.0;1565.0;13.0;134.0;media
AL;MINADOR;municipio;758.0;125440.0;403.0;3268.0;95.0;1079.0;media
AL;PALMEIRA DOS INDIOS;municipio;6855.0;457881.0;2324.0;11835.0;222.0;2177.0;media
AL;PAULO JACINTO;municipio;1156.0;119409.0;172.0;2003.0;62.0;630.0;media
AL;QUEBRANGULO;municipio;706.0;303298.0;268.0;7595.0;102.0;2468.0;media
AL;TANOUE O' ARCA;municipio;1028.0;255342.0;279.0;1995.0;27.0;1004.0;media
AL;ARAPIRACA;microrregiao;40856.0;3145307.0;4199.0;55216.0;3129.0;46752.0;media
AL;ANADIA;municipio;815.0;309481.0;122.0;2747.0;21.0;1488.0;media
AL;ARAPIRACA;municipio;4432.0;374481.0;329.0;6698.0;870.0;9886.0;media
AL;COITE;municipio;1656.0;54664.0;218.0;1646.0;194.0;1208.0;media
AL;CRAIBAS;municipio;2114.0;178956.0;280.0;3186.0;180.0;2188.0;media
AL;FEIRA GRANDE;municipio;3705.0;170.0;623.0;4925.0;421.0;3893.0;media
AL;GIRAU DO PONCIANO;municipio;5279.0;395360.0;10.0;4779.0;259.0;3877.0;media
AL;.JUNQUEIRO;municipio;2954.0;319015.0;152.0;4906.0;177.0;3710.0;media
AL;LAGOA DA CANOA;municipio;1393.0;66316.0;53.0;896.0;169.0;1395.0;media
AL;LIMOEIRO OE ANADIA;municipio;4759.0;391520.0;227.0;2572.0;201.0;9431.0;media
AL;OLHO D' AGUA GRANDE;municipio;1112.0;90216.0;370.0;1846.0;69.0;623.0;media
AL;SÃO BRAS;municipio;1630.0;76946.0;112.0;1672.0;11.0;614.0;media
AL;MATA ALAGOANA;mesorregiao;19211.0;;139982.0;1568.0;219505.0;;media
AL;MATA ALAGOANA;microrregiao;11640.0;;67904.0;47.0;78259.0;;media
AL;ATALAIA;municipio;617.0;;6536.0;120.0;4506.0;;media
AL;BRANQUINHA;municipio;165.0;;183.0;12.0;192.0;;media
AL;CAJUEIRO;municipio;80.0;;1075.0;41.0;2785.0;;media
AL;CAPELA;municipio;503.0;;3083.0;70.0;3836.0;;media
AL;CHÃ PRETA;municipio;1124.0;;10833.0;83.0;1245.0;;media
AL;COLONIA LEOPOLDINA;municipio;320.0;;3695.0;46.0;3441.0;;media
AL;FLEXEIRAS;municipio;127.0;;1423.0;52.0;10110.0;;media
AL;IBATEGUARA;municipio;1015.0;;318.0;74.0;3113.0;;media
AL;.JACU IPE;municipio;213.0;;1194.0;;673.0;;media
AL;JOAQUIM GOMES;municipio;796.0;;;52.0;;;media
AL;JUNDIA;municipio;94.0;49842.0;35.0;4051.0;17.0;;media
AL;MESSIAS;municipio;25.0;;1290.0;11.0;6301.0;;media
AL;MURICI;municipio;137.0;;253.0;;385.0;;media
AL;NOVO LINO;municipio;287.0;;3947.0;60.0;3176.0;;media
AL;PINDOBA;municipio;480.0;;2429.0;32.0;884.0;;media
AL;SANTANA;municipio;1063.0;;5076.0;40.0;310.0;;media
AL;SÃO .JOSE DA LA JE;municipio;304.0;;2233.0;102.0;11402.0;;media
AL;UNIÃO DOS PALMARES;municipio;2489.0;;7544.0;114.0;11499.0;;media
AL;VIÇOSA;municipio;1801.0;;8079.0;113.0;7744.0;;media
AL;LITORAL NORTE ALAGOANO;microrregiao;3722.0;;25550.0;229.0;20749.0;;media
AL;BARRA OE SANTO ANTONIO;municipio;134.0;;201.0;;569.0;;media
AL;.JAPARATINGA;municipio;381.0;;969.0;13.0;793.0;;media
AL;MARAGOGI;municipio;792.0;;3288.0;25.0;2205.0;;media
AL;MATRIZ DE CAMARAGIBE;municipio;67.0;;;;;;media
AL;PASSO DE CAMARAGIBE;municipio;222.0;;2020.0;46.0;2419.0;;media
AL;PORTO CALVO;municipio;663.0;;7430.0;47.0;5494.0;;media
AL;PORTO DE PEDRAS;municipio;689.0;;574.0;35.0;3827.0;;media
AL;SÃO MIGUEL DOS MILAGRES;municipio;370.0;;1322.0;;621.0;;media
AL;TABULEIROS DE S MIGUEL DOS CAMPOS;microrregiao;3849.0;;;292.0;120496.0;;media
AL;BARRA DE SÃO MIGUEL;municipio;44.0;;270.0;;255.0;;media
AL;BOCA DA MATA;municipio;414.0;;245.0;52.0;31202.0;;media
AL;CAMPO ALEGRE;municipio;459.0;;12517.0;31.0;26660.0;;media
AL;CORURIPE;municipio;2552.0;;14463.0;143.0;16041.0;;media
AL;ROTEIRO;municipio;33.0;;1025.0;12.0;1627.0;;media
AL;SÃO MIGUEL DOS CAMPOS;municipio;347.0;;11004.0;49.0;709.0;;media
AL;COQUEIRO SECO;municipio;76.0;;985.0;;2609.0;;media
AM;TOTAIS;total;116138.0;4906683.0;19626.0;252050.0;3449.0;67704.0;media
AM;HI LEIA AMAZONENSE;mesorregiao;;2008804.0;10561.0;171022.0;2731.0;33333.0;media
AM;ALTO SOLIMÕES;microrregiao;12818.0;203230.0;3523.0;9575.0;2076.0;10137.0;media
AM;AMATURA;municipio;839.0;10142.0;241.0;1015.0;;;media
AM;ATALAIA DO NORTE;municipio;813.0;13788.0;;;;;media
AM;BENJAMIN CONSTANT;municipio;902.0;28213.0;160.0;2062.0;;43.0;media
AM;FONTE BOA;municipio;1881.0;2839.0;35.0;976.0;197.0;2125.0;media
