_uf;_label;_level;efetivo_total;nascidos;vitimados;comprados;vendidos;confianca
AC;TOTAIS;total;2416.0;95.0;109.0;453.0;173.0;alta
AC;ACRE;mesorregiao;2416.0;95.0;109.0;453.0;173.0;alta
AC;ALTO JURUA;microrregiao;255.0;12.0;14.0;55.0;;alta
AC;CRUZEIRO DO SUL;municipio;36.0;;;32.0;;alta
AC;FEIJO;municipio;129.0;;11.0;18.0;;alta
AC;TARAUACA;municipio;90.0;;;;;alta
AC;ALTO PURUS;microrregiao;2161.0;83.0;95.0;398.0;173.0;alta
AC;ASSIS BRASIL;municipio;22.0;;;;;alta
AC;BRAS I LEI A;municipio;360.0;;16.0;97.0;77.0;alta
AC;MANOEL URBANO;municipio;54.0;;;12.0;17.0;alta
AC;PLACIDO DE CASTRO;municipio;212.0;;;32.0;;alta
AC;SENADOR GUIOMARD;municipio;122.0;;;23.0;;alta
AC;SENA MADUREIRA;municipio;347.0;;35.0;68.0;;alta
AC;XAPURI;municipio;569.0;31.0;21.0;77.0;28.0;alta
AL;TOTAIS;total;20674.0;173.0;490.0;1855.0;370.0;media
AL;SERTÃO E AGRESTE ALAGOANO s;microrregiao;5306.0;105.0;64.0;;137.0;media
AL;SERTÃO ALAGOANO;microrregiao;1300.0;22.0;13.0;109.0;29.0;media
AL;AGUA BRANCA;municipio;739.0;12.0;;76.0;23.0;media
AL;CANAPI;municipio;64.0;;;;;media
AL;DELMIRO GOUVEIA;municipio;107.0;;;10.0;;media
AL;INHAPI;municipio;27.0;;;;;media
AL;MATA GRANDE;municipio;309.0;;;12.0;;media
AL;OLHO O' AGUA DO CASADO;municipio;;;;;;media
AL;PIRANHAS;municipio;45.0;;;;;media
AL;BATALHA;municipio;659.0;19.0;;61.0;;media
AL;BATALHA;municipio;35.0;;;;;media
AL;BELO MONTE;municipio;13.0;;;;;media
AL;CARNEIROS;municipio;16.0;;;;;media
AL;DOIS RIACHOS;municipio;27.0;;;;;media
AL;JACARE DOS HOMENS;municipio;;;;;;media
AL;JARAMATAIA;municipio;;;;;;media
AL;MAJOR ISIDORO;municipio;114.0;;;19.0;;media
AL;MARAVILHA;municipio;41.0;;;;;media
AL;MONTEIROPOLIS;municipio;10.0;;;;;media
AL;OLHO O' AGUA DAS FLORES;municipio;;;;;;media
AL;OLIVENÇA;municipio;25.0;;;;;media
AL;OURO BRANCO;municipio;54.0;;;;;media
AL;PALESTINA;municipio;;;;;;media
AL;PÃO OE AÇUCAR;municipio;77.0;;;;;media
AL;POÇO DAS TRINCHEIRAS;municipio;36.0;;;;;media
AL;SANTANA;municipio;82.0;;;;;media
AL;SÃO JOSE DA TA PERA;municipio;71.0;;;;;media
AL;SENADOR RUI PALMEIRA;municipio;28.0;;;;;media
AL;PALMEIRA DOS INOIOS;municipio;1594.0;45.0;25.0;168.0;33.0;media
AL;RELEM;municipio;27.0;;;;;media
AL;CACIMBINHAS;municipio;57.0;;;;;media
AL;IGACI;municipio;81.0;;;;;media
AL;MARIBONOO;municipio;217.0;;;23.0;;media
AL;MAR VERMELHO;municipio;83.0;;;;;media
AL;MINADOR DO NEGRÃO;municipio;43.0;;;;;media
AL;PALMEIRA DOS INDIOS;municipio;560.0;12.0;10.0;45.0;13.0;media
AL;PAULO JACINTO;municipio;110.0;;;12.0;;media
AL;QUEBRANGULO;municipio;313.0;18.0;;37.0;;media
AL;TANQUE D' ARCA;municipio;103.0;;;34.0;;media
AL;ARAPIRACA;municipio;14.0;18.0;133.0;56.0;;media
AL;ANADIA;municipio;94.0;;;33.0;30.0;media
AL;ARAPIRACA;municipio;167.0;;;17.0;;media
AL;COITE DO NOIA;municipio;54.0;;;10.0;;media
AL;CRAIBAS;municipio;242.0;;;10.0;;media
AL;FEIRA GRANDE;municipio;107.0;;;12.0;;media
AL;GIRAU DO PONCIANO;municipio;152.0;;;14.0;;media
AL;JUNQUEIRO;municipio;147.0;;;;;media
AL;LAGOA DA CANOA;municipio;19.0;;;;;media
AL;LIMOEIRO OE ANADIA;municipio;46.0;;;;;media
AL;OLHO O' AGUA GRANDE;municipio;54.0;;;;;media
AL;SÃO BRAS;municipio;79.0;;;;;media
AL;T AQUARANA;municipio;80.0;;;;;media
AL;MATA ALAGOANA;mesorregiao;;404.0;1251.0;215.0;;media
AL;MATA ALAGOANA;microrregiao;;303.0;868.0;163.0;;media
AL;ATALAIA;municipio;;;41.0;;;media
AL;BRANOU I NHA;municipio;;;;;;media
AL;CAJUEIRO;municipio;;;13.0;;;media
AL;CAPELA;municipio;;;33.0;;;media
AL;CHÃ PRETA;municipio;;;39.0;11.0;;media
AL;COLONIA LEOPOLDINA;municipio;;;92.0;;;media
AL;FLEXEIRAS;municipio;;;13.0;;;media
AL;IBATEGUARA;municipio;;24.0;59.0;10.0;;media
AL;JACUIPE;municipio;;11.0;23.0;;;media
AL;JOAQUIM GOMES;municipio;;17.0;66.0;21.0;;media
AL;JUNOIA;municipio;;;20.0;;;media
AL;MESSIAS;municipio;;;;;;media
AL;MURICI;municipio;;;;;;media
AL;NOVO LINO;municipio;;16.0;103.0;;;media
AL;PINOOBA;municipio;;;24.0;;;media
AL;SANTANA DO MUNDAU;municipio;;19.0;83.0;67.0;;media
AL;SÃO JOSE DA LAJE;municipio;;134.0;48.0;;;media
AL;VlÇOSA;municipio;;;80.0;13.0;;media
AL;LITO-AL N'ORTE A,LAGOANO;microrregiao;;84.0;303.0;40.0;;media
AL;BARRA OE SANTO ANTONIO;municipio;;;;;;media
AL;JAPARATINGA;municipio;;10.0;22.0;;;media
AL;MARAGOGI;municipio;;22.0;57.0;;;media
AL;MATRIZ DE CAMARAGIBE;municipio;;;37.0;;;media
AL;PASSO DE CAMARAGI BE;municipio;;;;;;media
AL;PORTO CALVO;municipio;;40.0;103.0;19.0;;media
AL;PORTO DE PEDRAS;municipio;;;71.0;;;media
AL;SÃO MIGUEL DOS MILAGRES;municipio;;;;;;media
AL;TABULEIROS DE S MIGUEL DOS CAMPOS;microrregiao;;17.0;80.0;;;media
AL;BARRA OE SÂO MIGUEL;municipio;;;;;;media
AL;BOCA DA MATA;municipio;;13.0;20.0;12.0;;media
AL;CAMPO ALEGRE;municipio;;;;;;media
AL;CORURIPE;municipio;;;;;;media
AL;ROTEIRO;municipio;;;49.0;;;media
AL;SÃO MIGUEL DOS CAMPOS;municipio;;;;;;media
