_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;confianca
AC;TOTAIS;total;158558.0;83236.0;19536.0;8460.0;20662.0;18725.0;alta
AC;ACRE;mesorregiao;158558.0;83236.0;19536.0;8460.0;20662.0;18725.0;alta
AC;ALTO JURUA;microrregiao;44956.0;30331.0;7898.0;251.0;7757.0;5939.0;alta
AC;CRUZEIRO oo SUL;municipio;13168.0;147.0;1945.0;;3177.0;;alta
AC;FEIJO;municipio;15322.0;10044.0;3185.0;781.0;1333.0;3107.0;alta
AC;MANCIO LIMA;municipio;5786.0;4290.0;1143.0;619.0;1618.0;455.0;alta
AC;T ARAUACA;municipio;10680.0;7850.0;1625.0;854.0;1629.0;;alta
AC;ALTO PURUS;microrregiao;113602.0;52905.0;11638.0;5209.0;12905.0;12786.0;alta
AC;ASSIS BRASIL;municipio;1327.0;1199.0;343.0;36.0;151.0;461.0;alta
AC;BRASILEIA;municipio;19193.0;8774.0;2225.0;1162.0;3480.0;3039.0;alta
AC;MANOEL URBANO;municipio;6839.0;3863.0;1231.0;151.0;545.0;1499.0;alta
AC;PLACIDO DE CASTRO;municipio;13224.0;7145.0;821.0;300.0;1423.0;465.0;alta
AC;SENADOR GUIOMARD;municipio;20144.0;4349.0;1297.0;854.0;883.0;741.0;alta
AC;SENA MADUREIRA;municipio;17658.0;8684.0;1862.0;638.0;1208.0;1991.0;alta
AC;XAPURI;municipio;12641.0;7196.0;1531.0;641.0;1739.0;2396.0;alta
AL;TOTAIS;total;85466.0;43308.0;8431.0;28720.0;46975.0;1414.0;alta
AL;SERTÃO E AGRESTE ALAGOANO;mesorregiao;35908.0;7163.0;18090.0;32301.0;1177.0;;alta
AL;SERTÃO ALAGOANO;microrregiao;13749.0;6141.0;1141.0;3842.0;4140.0;334.0;alta
AL;AGUA BRANCA;municipio;2138.0;1197.0;310.0;640.0;1048.0;83.0;alta
AL;CANAPI;municipio;3319.0;1678.0;219.0;903.0;1362.0;107.0;alta
AL;OELMIRO GOUVEIA;municipio;409.0;231.0;105.0;89.0;123.0;30.0;alta
AL;INHAPI;municipio;2025.0;999.0;41.0;398.0;436.0;14.0;alta
AL;MATA GRANDE;municipio;4542.0;1307.0;235.0;1682.0;725.0;49.0;alta
AL;OLHO D' AGUA DO CASADO;municipio;284.0;209.0;36.0;23.0;149.0;10.0;alta
AL;PIRANHAS;municipio;1032.0;520.0;195.0;107.0;297.0;41.0;alta
AL;BATALHA;microrregiao;13899.0;3241.0;6349.0;11792.0;426.0;;alta
AL;BATALHA;municipio;407.0;123.0;18.0;104.0;156.0;;alta
AL;BELO MONTE;municipio;1309.0;530.0;40.0;370.0;387.0;;alta
AL;CARNEIROS;municipio;422.0;133.0;21.0;258.0;139.0;;alta
AL;DOIS RIACHOS;municipio;1414.0;789.0;278.0;497.0;696.0;11.0;alta
AL;.JACARE DOS HOMENS;municipio;899.0;589.0;65.0;89.0;483.0;;alta
AL;JARAMATAIA;municipio;95.0;43.0;;36.0;10.0;;alta
AL;MA JOR ISIDORO;municipio;3559.0;2886.0;547.0;468.0;2752.0;17.0;alta
AL;MARAVILHA;municipio;1772.0;973.0;153.0;142.0;981.0;;alta
AL;MONTEIROPOLIS;municipio;2379.0;971.0;472.0;462.0;550.0;;alta
AL;OLHO D;municipio;944.0;321.0;62.0;285.0;235.0;;alta
AL;OLIVENÇA;municipio;1079.0;689.0;129.0;385.0;471.0;;alta
AL;OURO BRANCO;municipio;1254.0;559.0;57.0;172.0;394.0;25.0;alta
AL;PALESTINA;municipio;49.0;;;26.0;31.0;11.0;alta
AL;PÃO DE AÇUCAR;municipio;751.0;221.0;29.0;163.0;239.0;12.0;alta
AL;POÇO DAS TRINCHEIRAS;municipio;1918.0;1985.0;401.0;565.0;1314.0;35.0;alta
AL;SANT AN DOIPANEMA;municipio;2977.0;1503.0;403.0;1288.0;1860.0;59.0;alta
AL;SÃO .JOSE OA TAPERA;municipio;3440.0;976.0;351.0;692.0;658.0;151.0;alta
AL;SENADOR RUI PALMEIRA;municipio;448.0;603.0;210.0;347.0;436.0;76.0;alta
AL;PALMEIRA DOS INOIOS;microrregiao;15980.0;8892.0;1425.0;3982.0;9302.0;173.0;alta
AL;CACIMBINHAS;municipio;1754.0;917.0;255.0;145.0;1226.0;;alta
AL;IGACI;municipio;2411.0;811.0;247.0;378.0;655.0;50.0;alta
AL;MARIBONDO;municipio;84.0;11.0;;31.0;;;alta
AL;MAR VERMELHO;municipio;396.0;178.0;26.0;200.0;187.0;23.0;alta
AL;MINADOR DO NEGRÃO;municipio;1660.0;1110.0;217.0;411.0;1143.0;13.0;alta
AL;PALMEIRA DOS INOIOS;municipio;6874.0;4421.0;556.0;2030.0;4118.0;32.0;alta
AL;PAULO .JACINTO;municipio;781.0;773.0;50.0;95.0;638.0;51.0;alta
AL;OUEBRANGULO;municipio;982.0;416.0;32.0;290.0;557.0;;alta
AL;TANQUE D' ARCA;municipio;575.0;160.0;28.0;303.0;260.0;;alta
AL;ARAPIRACA;microrregiao;11558.0;6323.0;1096.0;2709.0;5713.0;219.0;alta
AL;ANADIA;municipio;40.0;15.0;11.0;26.0;;;alta
AL;ARAPIRACA;municipio;1361.0;175.0;369.0;1183.0;14.0;;alta
AL;COITE DO NOIA;municipio;348.0;123.0;33.0;97.0;213.0;;alta
AL;CRAIBAS;municipio;806.0;336.0;123.0;240.0;50.0;;alta
AL;FEIRA GRANDE;municipio;413.0;192.0;13.0;133.0;60.0;;alta
AL;GIRAU DO PONCIANO;municipio;617.0;108.0;21.0;56.0;104.0;;alta
AL;JUNQUEIRO;municipio;124.0;17.0;;29.0;21.0;;alta
AL;LAGOA DA CANOA;municipio;20.0;;;18.0;;;alta
AL;LIMOEIRO DE ANADIA;municipio;414.0;123.0;13.0;194.0;248.0;;alta
AL;OLHO D'AGUA GRANDE;municipio;1027.0;664.0;118.0;184.0;336.0;61.0;alta
AL;SÃO BRAS;municipio;1070.0;330.0;61.0;550.0;259.0;;alta
AL;SÃO SEBASTIÃO;municipio;379.0;149.0;30.0;164.0;121.0;13.0;alta
AL;TAOUARANA;municipio;3297.0;2410.0;413.0;286.0;2345.0;23.0;alta
AL;MATA ALAGOANA;mesorregiao;10315.0;13951.0;;;;;alta
AL;MATA ALAGOANA;microrregiao;10166.0;12582.0;;;;;alta
AL;ATALAIA;municipio;10.0;36.0;;;;;alta
AL;BRANQUINHA;municipio;108.0;;;;;;alta
AL;CAJUEIRO;municipio;265.0;60.0;;;;;alta
AL;CAPELA;municipio;;18.0;;;;;alta
AL;CHÃ PRETA;municipio;251.0;216.0;;;;;alta
AL;COLONIA LEOPOLDINA;municipio;;;;;;;alta
AL;FLEXEIRAS;municipio;;;;;;;alta
AL;IBATEGUARA;municipio;18.0;27.0;;;;;alta
AL;JACU IPE;municipio;13.0;11.0;;;;;alta
AL;JOAQUIM GOMES;municipio;50.0;53.0;;;;;alta
AL;JUNOIA;municipio;;;;;;;alta
AL;MURICI;municipio;27.0;;;;;;alta
AL;NOVO LINO;municipio;24.0;1155.0;;;;;alta
AL;PINOOBA;municipio;24.0;57.0;;;;;alta
AL;SANTANA DO MUNOAU;municipio;412.0;596.0;;;;;alta
AL;SÃO JOSE DA LAJE;municipio;;18.0;;;;;alta
AL;UNIÃO DOS PALMARES;municipio;3114.0;2963.0;;;;;alta
AL;VIÇOSA;municipio;5829.0;7363.0;;;;;alta
AL;LITORAL NORTE ALAGOANO;microrregiao;45.0;221.0;;;;;alta
AL;JAPARATINGA;municipio;33.0;;;;;;alta
AL;MARAGOGI;municipio;;;;;;;alta
AL;MATRIZ DE CAMARAGIBE;municipio;;;;;;;alta
AL;PASSO DE CAMARAGI BE;municipio;;;;;;;alta
AL;PORTO CALVO;municipio;;;;;;;alta
AL;PORTO DE PEDRAS;municipio;;217.0;;;;;alta
AL;SÃO MIGUEL DOS MILAGRES;municipio;;;;;;;alta
AL;TABULEIROS DE S MIGUEL DOS CAMPOS;microrregiao;104.0;1148.0;;;;;alta
AL;BOCA DA MATA;municipio;;;;;;;alta
AL;CAMPO ALEGRE;municipio;13.0;559.0;;;;;alta
AL;CORURIPE;municipio;23.0;14.0;;;;;alta
AL;SÃO MIGUEL DOS CAMPOS;municipio;62.0;573.0;;;;;alta
AL;MARECHAL DEODORO;municipio;22.0;308.0;;;;;alta
AL;PILAR;municipio;;;;;;;alta
AL;RIO LARGO;municipio;134.0;123.0;;;;;alta
AL;SANTA LUZIA DO NORTE;municipio;;30.0;;;;;alta
AL;SATUBA;municipio;;100.0;;;;;alta
AM;TOTAIS;total;180582.0;86039.0;19580.0;5394.0;28752.0;12967.0;media
AM;HlLEIA AMAZONfNSE;mesorregiao;99309.0;44558.0;10923.0;3301.0;12707.0;8499.0;media
AM;ALTO SOLIMÕES;microrregiao;22403.0;12806.0;3327.0;342.0;4048.0;;media
AM;AMATURA;municipio;1546.0;641.0;207.0;27.0;444.0;78.0;media
AM;ATALAIA;municipio;275.0;212.0;19.0;;52.0;48.0;media
AM;BENJAMIN CONSTANT;municipio;263.0;170.0;17.0;;94.0;37.0;media
AM;FONTE BOA;municipio;2792.0;1346.0;409.0;112.0;482.0;311.0;media
AM;JUTA(;municipio;3875.0;1821.0;536.0;36.0;825.0;506.0;media
AM;SANTO ANTONIO DO IÇA;municipio;4762.0;3801.0;208.0;50.0;1084.0;703.0;media
AM;SÃO PAULO DE OLIVENÇA;municipio;3078.0;1440.0;221.0;21.0;331.0;271.0;media
AM;TABATINGA;municipio;351.0;206.0;;;110.0;3.0;media
AM;TONA-TINS;municipio;5461.0;3169.0;707.0;84.0;626.0;541.0;media
AM;JURUA;microrregiao;20278.0;10667.0;2766.0;346.0;2558.0;965.0;alta
AM;CARAUARI;municipio;;17.0;;;17.0;;alta
AM;EIRUNEPE;municipio;4749.0;3224.0;964.0;110.0;642.0;406.0;alta
AM;ENVIRA;municipio;3233.0;1689.0;446.0;28.0;316.0;231.0;alta
AM;IPIXUNA;municipio;11422.0;5358.0;1223.0;193.0;1482.0;281.0;alta
AM;rTAMARATI;municipio;728.0;335.0;102.0;13.0;80.0;46.0;alta
AM;JURUA;municipio;140.0;44.0;31.0;;21.0;;alta
AM;PURUS;microrregiao;19971.0;8435.0;1874.0;303.0;216.0;1517.0;media
AM;BOCA DO ACRE;municipio;10.0;4231.0;1301.0;274.0;1501.0;946.0;media
AM;CANUTAMA;municipio;639.0;310.0;94.0;;87.0;42.0;media
AM;LABREA;municipio;1786.0;811.0;167.0;;184.0;285.0;media
AM;PAUINI;municipio;680.0;438.0;118.0;;54.0;154.0;media
AM;TAPAUA;municipio;2645.0;194.0;24.0;370.0;90.0;;media
AM;MADEIRA;microrregiao;2557.0;8287.0;263.0;155.0;2401.0;1960.0;media
AM;BORBA;municipio;441.0;1086.0;295.0;425.0;783.0;237.0;media
