_uf;_label;_level;val_1;val_2;val_3;val_4;val_5;val_6;val_7;confianca
AC;TOTAIS;total;24071.0;18146.0;13136.0;34.0;26.0;15.0;;alta
AC;ACRE;mesorregiao;24071.0;18146.0;13136.0;34.0;26.0;15.0;;alta
AC;ALTO JURUA;microrregiao;4335.0;1909.0;1219.0;34.0;26.0;;;alta
AC;CRUZEIRO;municipio;818.0;396.0;281.0;21.0;15.0;;;alta
AC;FEIJO;municipio;1632.0;768.0;408.0;;;;;alta
AC;MANCIO LIMA;municipio;369.0;234.0;188.0;;;;;alta
AC;TARAUACA;municipio;1516.0;509.0;340.0;;;;;alta
AC;ALTO PURUS;microrregiao;19736.0;16237.0;11917.0;;;;;alta
AC;ASSIS BRASIL;municipio;223.0;84.0;16.0;;;;;alta
AC;BRASILEIA;municipio;1990.0;1012.0;611.0;;;;;alta
AC;MANOEL URBANO;municipio;251.0;140.0;66.0;;;;;alta
AC;PLACIDO OE CASTRO;municipio;2070.0;1227.0;862.0;;;;;alta
AC;SENADOR GUIOMARD;municipio;1809.0;1082.0;766.0;;;;;alta
AC;SENA MADUREIRA;municipio;1151.0;671.0;304.0;;;;;alta
AC;XAPURI;municipio;2948.0;1397.0;895.0;;;;;alta
AL;TOTAIS;total;100863.0;110022.0;89780.0;21.0;15.0;1818.0;279.0;media
AL;SERT ÂO E AGRESTE ALAGOANO;mesorregiao;90777.0;103414.0;84476.0;;;1477.0;226.0;media
AL;SERTÃO ALAGOANO;microrregiao;13529.0;9160.0;6754.0;;;444.0;81.0;media
AL;AGUA BRANCA;municipio;1444.0;1112.0;785.0;;;178.0;14.0;media
AL;CANAPI;municipio;3565.0;2562.0;1914.0;;;157.0;54.0;media
AL;DELMIRO GOUVEIA;municipio;1684.0;897.0;661.0;;;;;media
AL;INHAPI;municipio;1365.0;1232.0;1023.0;;;;;media
AL;MATA GRANDE;municipio;2660.0;1523.0;1039.0;;;41.0;;media
AL;OLHO D' AGUA DO CASADO;municipio;1284.0;929.0;716.0;;;;;media
AL;PIRANHAS;municipio;1527.0;902.0;583.0;;;48.0;;media
