_uf;_label;_level;val_1;val_2;val_3;confianca
BA;TOTAIS;total;662.0;17833.0;120.0;baixa
BA;OESTE BAIANO;mesorregiao;277.0;13015.0;79.0;baixa
BA;CHAPADÕES DO ALTO RIO GRANDE;mesorregiao;129.0;244.0;;baixa
BA;BAIANOPOLIS;microrregiao;;;;baixa
BA;BARREIRAS;microrregiao;12.0;;;baixa
BA;COTEGIPE;microrregiao;;;;baixa
BA;FORMOSA DO RIO PRETO;microrregiao;113.0;171.0;;baixa
BA;SANTA RITA OE CASSIA;microrregiao;14.0;53.0;;baixa
BA;CHAPADÕES DO RIO CORRENTE;mesorregiao;11.0;;;baixa
BA;CORRENTINA;microrregiao;;;;baixa
BA;SANTANA;microrregiao;10.0;;;baixa
BA;BAIXO-MEDI O SÃO FRANCISCO;microrregiao;32.0;10140.0;69.0;baixa
BA;BARRA;microrregiao;18.0;858.0;;baixa
BA;CAMPO ALEGRE OE LOURDES;microrregiao;;4702.0;32.0;baixa
BA;CASA NOVA;microrregiao;12.0;2640.0;19.0;baixa
BA;IBOTIRAMA;microrregiao;;;;baixa
BA;MORPARA;microrregiao;;;;baixa
BA;PI LÂO ARCADO;microrregiao;133.0;;;baixa
BA;REMANSO;microrregiao;;740.0;13.0;baixa
BA;SENTO SE;microrregiao;12.0;;;baixa
BA;XIQUE-XIQUE;microrregiao;45.0;;;baixa
BA;MEDIO SÃO FRANCISCO;microrregiao;;703.0;;baixa
BA;BOM JESUS DA LAPA;microrregiao;;;;baixa
BA;PARATINGA;microrregiao;;;;baixa
BA;CHAPADA DIAMANTINA SETENTRIONAL;microrregiao;50.0;53.0;;baixa
BA;CAFARNAUM;microrregiao;;;;baixa
BA;IRECE;microrregiao;;;;baixa
BA;PRESIDENTE OUTRA;microrregiao;;;;baixa
BA;CHAPADA DIAMANTINA MERIDIONAL;microrregiao;;582.0;;baixa
BA;ANDARA(;microrregiao;;;;baixa
BA;BOTUPORÃ;microrregiao;90.0;;;baixa
BA;CONTENDAS;microrregiao;;;;baixa
BA;(BICOARA;microrregiao;;;;baixa
BA;IPUPIARA;microrregiao;;;;baixa
BA;IRAMAIA;microrregiao;;227.0;;baixa
BA;IRAOUARA;microrregiao;;;;baixa
BA;ITAETE;microrregiao;;;;baixa
BA;ITUAÇU;microrregiao;;;;baixa
BA;LENÇOIS;microrregiao;;;;baixa
BA;MACAUBAS;microrregiao;;;;baixa
BA;MUCUGE;microrregiao;;;;baixa
BA;OLIVEIRA DOS BREJINHOS;microrregiao;;;;baixa
BA;SEABRA;microrregiao;;;;baixa
BA;TANHAÇU;microrregiao;;;;baixa
BA;UTINGA;microrregiao;;;;baixa
BA;SERRA GERAL DA BAHIA;microrregiao;62.0;;;baixa
BA;BRUMADO;microrregiao;45.0;;;baixa
BA;CACULE;microrregiao;;;;baixa
BA;LESTE BAIANO;mesorregiao;323.0;75.0;39.0;baixa
BA;PIEMONTE DA DIAMANTINA;microrregiao;10.0;199.0;;baixa
BA;CAEM;municipio;;;;baixa
BA;ITABERABA;municipio;10.0;;;baixa
BA;JACOBINA;municipio;;;;baixa
BA;MAIRI;municipio;;;;baixa
BA;MUNDO NOV;municipio;;;;baixa
BA;PIRITIBA;municipio;;;;baixa
BA;SERROLANOIA;municipio;;;;baixa
BA;TAPIRAMUTA;municipio;;;;baixa
BA;SERTÃO DE CANUDOS;microrregiao;31.0;781.0;;baixa
BA;CANSANÇÃO;municipio;12.0;;;baixa
BA;EUCLIDES DA CUNHA;municipio;;;;baixa
BA;ITIUBA;municipio;;;;baixa
BA;MONTE SANTO;municipio;11.0;;;baixa
BA;QUEIMADAS;municipio;;;;baixa
BA;QUIJINGUE;municipio;;;;baixa
BA;TUCANO;municipio;;;;baixa
BA;SERRINHA;microrregiao;214.0;874.0;;baixa
BA;ARACI;municipio;;;;baixa
BA;BIRITINGA;municipio;;;;baixa
BA;CANDEAL;municipio;;;;baixa
BA;CONCEIÇÃO DO COITE;municipio;171.0;;;baixa
BA;LAMARÃO;municipio;;;;baixa
BA;RIACHÃO DO JACU IPE;municipio;179.0;15.0;;baixa
BA;SANTALUZ;municipio;;;;baixa
BA;SERRINHA;municipio;20.0;201.0;;baixa
BA;TEOFILANDIA o AS;municipio;;;;baixa
BA;VALENTE;municipio;;;;baixa
BA;FEIRA DE SANTANA;microrregiao;604.0;170.0;;baixa
BA;AGUA FRIA;municipio;;;;baixa
BA;ANTONIO CARDOSO;municipio;2.0;;;baixa
BA;CASTRO ALVES;municipio;11.0;;;baixa
BA;CORAÇÃO DE MARIA;municipio;;;;baixa
BA;JEQUIE;mesorregiao;136.0;;;baixa
BA;AMARGOSA;mesorregiao;16.0;;;baixa
BA;BREJÕES;mesorregiao;;;;baixa
BA;ITIRUÇU;mesorregiao;50.0;;;baixa
BA;JAGUAQUARA;mesorregiao;30.0;;;baixa
BA;JIQUIRIÇA;mesorregiao;;;;baixa
BA;LAFAIETE COUTINHO;mesorregiao;;;;baixa
BA;LAJE;mesorregiao;;;;baixa
BA;MARACAS;mesorregiao;15.0;;;baixa
BA;MUTUIPE;mesorregiao;;;;baixa
BA;PLANAL TINO;mesorregiao;;;;baixa
BA;SÃO MIGUEL DAS MATAS;mesorregiao;;;;baixa
BA;PLANALTO DE CONQUISTA;mesorregiao;24.0;37.0;;baixa
BA;BARRA DO CHOÇA;mesorregiao;;;;baixa
BA;NOVA CANAÃ;mesorregiao;;;;baixa
BA;PLANALTO;mesorregiao;;;;baixa
BA;POÇÕES;mesorregiao;;;;baixa
BA;VITORIA DA CONQUISTA;mesorregiao;23.0;17.0;;baixa
BA;PASTORIL DE I T APET I NGA;mesorregiao;;;;baixa
BA;I TAPET I NGA;mesorregiao;;;;baixa
BA;SERTÃO PAULO AFONSO;mesorregiao;198.0;;;baixa
BA;JEREMOABO;mesorregiao;73.0;;;baixa
BA;AFONSO;microrregiao;125.0;;;baixa
BA;PAULO;mesorregiao;;;;baixa
BA;PEDRO ALEXANDRE;mesorregiao;;;;baixa
BA;ALAGOINHAS;municipio;332.0;;;baixa
BA;AGRESTE DE;mesorregiao;;;;baixa
BA;ACAJUTIBA;mesorregiao;;;;baixa
BA;ALAGO I NHAS;mesorregiao;;;;baixa
BA;ANTAS;mesorregiao;;;;baixa
BA;ARAMAR(;mesorregiao;;;;baixa
BA;CICERO DANTAS;mesorregiao;;;;baixa
BA;INHAMBUPE;mesorregiao;;;;baixa
BA;ITAPICURU;mesorregiao;;;;baixa
BA;PARIPIRANGA;mesorregiao;;;;baixa
BA;RIBEIRA DO AMPARO;mesorregiao;;;;baixa
BA;RIBEIRA DO POMBAL;mesorregiao;;;;baixa
BA;RIO REAL;mesorregiao;;;;baixa
BA;LITORAL NORTE;mesorregiao;;;;baixa
BA;CARDEAL DA SILVA;mesorregiao;21.0;;;baixa
BA;RIOS;microrregiao;28.0;;;baixa
BA;ENTRE;mesorregiao;;;;baixa
BA;ESPLANADA;mesorregiao;18.0;;;baixa
BA;ITANAGRA;mesorregiao;;;;baixa
BA;RECONCAVO BAIANO;microrregiao;853.0;;;baixa
BA;AMELIA RODRIGUES;municipio;;;;baixa
BA;ARATUIPE;municipio;;;;baixa
BA;CACHOEIRA;municipio;;;;baixa
BA;CONCEIÇÃO DA FEIRA;municipio;;;;baixa
BA;CONCE I ÇÂO DO ALMEIDA;municipio;;;;baixa
BA;CONCEIÇÃO DO .JACU IPE;municipio;;;;baixa
BA;CRUZ DAS ALMAS;municipio;;;;baixa
BA;GOVERNADOR MANGABEIRA;municipio;;;;baixa
BA;JAGUAR IPE;municipio;;;;baixa
BA;MARAGOGIPE;municipio;;;;baixa
BA;MUNIZ FERREIRA;municipio;;;;baixa
BA;MURITIBA;municipio;;;;baixa
BA;SALINAS DA MARGARIDA;municipio;;;;baixa
BA;SANTO AMARO;municipio;;;;baixa
BA;SANTO ANTONIO DE JESUS;municipio;;;;baixa
BA;SÃO FEL IX;municipio;;;;baixa
BA;SÃO FELIPE;municipio;;;;baixa
BA;SÂO GONÇALO DOS CAMPOS;municipio;13.0;;;baixa
BA;SÃO SEBASTIÃO DO PASSE;municipio;;;;baixa
BA;SAPEAÇU;municipio;;;;baixa
BA;TEODORO SAMPAIO;municipio;;;;baixa
BA;TERRA NOVA;municipio;;;;baixa
BA;CAMAÇARI;municipio;;;;baixa
BA;CANDEIAS;municipio;;;;baixa
BA;CATU;municipio;;;;baixa
BA;LAURO DE FREITAS;municipio;;;;baixa
BA;MATA DE SÃO JOÃO;municipio;;;;baixa
BA;POJUCA;municipio;;;;baixa
BA;SIMÕES FILHO;municipio;;;;baixa
BA;LITORAL SUL BAIANO;mesorregiao;62.0;3500.0;;baixa
BA;TABULEIROS DE VALENÇA;microrregiao;;;;baixa
BA;VALENÇA;municipio;;;;baixa
BA;ENCOSTA DO PLANALTO DE CONQUISTA;microrregiao;;;;baixa
BA;IBICUI;municipio;;;;baixa
BA;ITAJU DO COLONIA;municipio;;;;baixa
BA;ITAPEBI ao;municipio;;;;baixa
