_uf;_label;_level;inform_1safra;qtde_1safra;area_ha_1safra;inform_2safra;qtde_2safra;area_ha_2safra;confianca
AC;TOTAIS;total;12949.0;19274.0;18765.0;392.0;1992.0;136.0;alta
AC;ACRE;mesorregiao;12949.0;19274.0;18765.0;392.0;1992.0;136.0;alta
AC;ALTO JURUA;microrregiao;2081.0;2567.0;2141.0;190.0;1460.0;63.0;alta
AC;CRUZEIRO DO SUL;municipio;1459.0;1086.0;125.0;1032.0;39.0;;alta
AC;FEIJO;municipio;457.0;493.0;427.0;210.0;16.0;;alta
AC;MANCIO LIMA;municipio;154.0;260.0;202.0;10.0;129.0;;alta
AC;TARAUACA;municipio;402.0;353.0;424.0;;;;alta
AC;ALTO PURUS;microrregiao;16706.0;16623.0;202.0;532.0;73.0;;alta
AC;ASSIS BRASIL;municipio;142.0;165.0;180.0;;34.0;;alta
AC;BRASILEIA;municipio;1765.0;3345.0;3372.0;23.0;34.0;;alta
AC;MANOEL URBANO;municipio;245.0;234.0;;;;;alta
AC;PLACIDO DE CASTRO;municipio;1772.0;2407.0;10.0;22.0;;;alta
AC;SENADOR GUIOMARD;municipio;1563.0;2836.0;2935.0;21.0;39.0;15.0;alta
AC;SENA MADUREIRA;municipio;1260.0;1530.0;62.0;52.0;15.0;;alta
AC;XAPURI;municipio;1283.0;1622.0;56.0;91.0;;;alta
AC;TOTAIS;total;9581.0;5367.0;9037.0;36.0;16.0;17.0;alta
AC;ACRE;mesorregiao;9581.0;5367.0;9037.0;36.0;16.0;17.0;alta
AC;ALTO JURUA;microrregiao;1770.0;581.0;1042.0;;;;alta
AC;CRUZEIRO DO SUL;municipio;1254.0;419.0;722.0;;;;alta
AC;FEIJO;municipio;137.0;43.0;84.0;;;;alta
AC;MANCIO LIMA;municipio;200.0;37.0;106.0;;;;alta
AC;TARAUACA;municipio;179.0;81.0;128.0;;;;alta
AC;ALTO PURUS;microrregiao;7811.0;4786.0;7995.0;27.0;13.0;13.0;alta
AC;ASSIS BRASIL;municipio;110.0;53.0;106.0;;;;alta
AC;BRASILEIA;municipio;1269.0;897.0;1543.0;;;;alta
AC;MANOEL URBANO;municipio;257.0;94.0;170.0;;;;alta
AC;PLACIDO DE CASTRO;municipio;855.0;519.0;718.0;;;;alta
AC;SENADOR GUIOMARD;municipio;962.0;649.0;1151.0;;;;alta
AC;SENA MADUREIRA;municipio;1004.0;498.0;820.0;26.0;13.0;13.0;alta
AC;XAPURI;municipio;1007.0;427.0;876.0;;;;alta
AC;TOTAIS;total;286.0;67.0;100.0;15.0;26.0;;alta
AC;ACRE;mesorregiao;286.0;67.0;100.0;15.0;26.0;;alta
AC;ALTO JURUA;microrregiao;234.0;59.0;82.0;15.0;26.0;;alta
AC;CRUZEIRO DO SUL;municipio;224.0;53.0;67.0;15.0;26.0;;alta
AC;FEIJO;municipio;;;;;;;alta
AC;TARAUACA;municipio;;;;;;;alta
AC;ALTO PURUS;microrregiao;52.0;;18.0;;;;alta
AC;SENA MADUREIRA;municipio;52.0;;18.0;;;;alta
AC;TOTAIS;total;10171.0;63769.0;34.0;30.0;19.0;;alta
AC;ACRE;mesorregiao;10171.0;63769.0;8202.0;34.0;30.0;19.0;alta
AC;ALTO JURUA;microrregiao;5022.0;36800.0;3042.0;26.0;20.0;;alta
AC;CRUZEIRO DO SUL;municipio;2049.0;14932.0;1052.0;25.0;18.0;;alta
AC;FEIJO;municipio;1231.0;925.0;;;;;alta
AC;MANCIO LIMA;municipio;693.0;6290.0;509.0;;;;alta
AC;T ARAUACA;municipio;1049.0;6618.0;555.0;;;;alta
AC;ALTO PURUS;microrregiao;5149.0;26969.0;5159.0;;;10.0;alta
AC;ASSIS BRASIL;municipio;68.0;264.0;59.0;;;;alta
AC;BRASILEIA;municipio;481.0;1680.0;365.0;;;;alta
