_uf;_label;_level;val_1;val_2;val_3;val_4;confianca
ES;TOTAIS;total;1738.0;165177.0;66.0;;media
ES;ESPI RITO-SANTENSE;mesorregiao;1721.0;161572.0;66.0;;media
ES;ALTO SÃO MATEUS;microrregiao;;16.0;;;media
ES;ECOPORANGA;municipio;;11.0;;;media
ES;MONTANHA;municipio;;;;;media
ES;MUCURICI;municipio;;;;;media
ES;COLATINA;microrregiao;195.0;1449.0;;;media
ES;BAIXO GUANOU;municipio;;45.0;;;media
ES;BARRA OE SÃO FRANCISCO;municipio;50.0;41.0;;;media
ES;BOA ESPERANÇA;municipio;;;;;media
ES;COLATINA;municipio;16.0;32.0;;;media
ES;MANTENOPOL IS;municipio;15.0;56.0;;;media
ES;MARILANOIA;municipio;;3.0;;;media
ES;NOVA VENECIA;municipio;14.0;321.0;;;media
ES;PANCAS;municipio;24.0;;;;media
ES;SÃO GABRIEL DA PALHA;municipio;63.0;666.0;;;media
ES;BAIXADA ESPIRITO-SANTENSE;microrregiao;68.0;151913.0;;;media
ES;ARACRUZ;municipio;10.0;40292.0;;;media
ES;CONCE;municipio;;22493.0;;;media
ES;FUNDÃO;municipio;;;;;media
ES;JAGUARE;municipio;;748.0;;;media
ES;LINHARES;municipio;24.0;5838.0;;;media
ES;PEDRO CANARI;municipio;;2806.0;;;media
ES;PINHEIROS;municipio;;464.0;;;media
ES;RIO BANANAL;municipio;;166.0;;;media
ES;SÃO MATEUS;municipio;;79097.0;;;media
ES;ALFREDO CHAVES;municipio;21.0;17.0;2.0;;media
ES;DOMINGOS MARTINS;municipio;705.0;36.0;;;media
ES;IBIRAÇU;municipio;;;;;media
ES;ITAGUAÇU;municipio;32.0;91.0;;;media
ES;ITARANA;municipio;67.0;72.0;;;media
ES;SANTA LEOPOLDINA;municipio;262.0;766.0;;;media
ES;SANTA TERESA;municipio;140.0;2259.0;;;media
ES;VERTENTE ORIENTAL DO CAPARAO;microrregiao;186.0;462.0;;;media
ES;CASTELO;municipio;68.0;67.0;;;media
ES;CONCEIÇÃO DO CASTELO;municipio;55.0;314.0;;;media
ES;IBATIBA;municipio;2.0;;;;media
ES;MUNIZ FREIRE;municipio;35.0;14.0;;;media
ES;CACHOEIRO OE ITAPEMIRIM;microrregiao;402.0;1071.0;;;media
ES;ALEGRE;municipio;147.0;;;;media
ES;APIACA;municipio;24.0;34.0;;;media
ES;ATILIO VIVACQUA;municipio;19.0;6.0;;;media
ES;BOM JESUS DO NORTE;municipio;;;;;media
ES;CACHOEIRO DE ITAPEMIRIM;municipio;109.0;451.0;;;media
ES;DORES DO RIO PRETO;municipio;40.0;119.0;;;media
ES;GUAÇUI;municipio;47.0;161.0;;;media
ES;VITORIA;mesorregiao;;;;;media
ES;VITORIA;microrregiao;;;;;media
ES;CARIACICA;municipio;;;;;media
ES;SERRA;municipio;;;;;media
ES;VIANA;municipio;;;;;media
ES;VILA VELHA;municipio;;;;;media
GO;TOTAIS;total;527.0;136655.0;76.0;36.0;media
GO;NORDESTE GOIANO;mesorregiao;134.0;;;;media
GO;SÃO MIGUEL DO ARAGUAIA;microrregiao;;;;;media
GO;MOZARLANDIA;municipio;;;;;media
GO;RIO VERMELHO;microrregiao;;107.0;;;media
GO;ITAPIRAPUÂ;municipio;;;;;media
GO;JUSSARA;municipio;;107.0;;;media
GO;ARAGARÇAS;microrregiao;;27.0;;;media
GO;ARAGARÇAS;municipio;;25.0;;;media
GO;PIRANHAS;municipio;;;;;media
GO;NORTE GOIANO;mesorregiao;18.0;28940.0;;;media
GO;PORANGATU;microrregiao;10.0;8245.0;;;media
GO;FORMOSO;municipio;;;;;media
GO;MINAÇU;municipio;;;;;media
GO;NIQUELANOIA;municipio;;8244.0;;;media
GO;SANTA TEREZINHA DE GOIAS;municipio;;;;;media
GO;CHAPADA DOS VEADEIROS;microrregiao;;20694.0;;;media
GO;ALTO PARA ISO DE GOIAS;municipio;;16488.0;;;media
GO;SÃO .JOÃO D'ALIANÇA;municipio;;4205.0;;;media
GO;CENTRO GOIANO;mesorregiao;154.0;1532.0;27.0;;media
GO;CERES;microrregiao;15.0;13.0;;;media
GO;CERES;municipio;;;;;media
GO;GOIANESIA;municipio;;;;;media
GO;ITAPURANGA;municipio;;;;;media
GO;NOVA GLORIA;municipio;;;;;media
GO;RUBIATABA;municipio;;;;;media
GO;URUANA;municipio;;;;;media
GO;ANAPOLIS;microrregiao;56.0;1111.0;10.0;;media
GO;ANAPOLIS;municipio;30.0;1082.0;;;media
GO;ARAÇU;municipio;;;;;media
GO;DAMO LAND IA;municipio;;;;;media
GO;INHUMAS;municipio;10.0;;;;media
GO;ITABERAI;municipio;;;;;media
GO;ITAGUARU;municipio;;;;;media
GO;ITAUÇU;municipio;;;;;media
GO;.JARAGUA;municipio;;;;;media
GO;NOVA VENEZA;municipio;;;;;media
GO;OURO VERDE DE GOIAS;municipio;;;;;media
GO;PETROLINA DE GOIAS;municipio;;;;;media
GO;IPORA;microrregiao;;;;;media
GO;IPORA;municipio;;;;;media
GO;IVOLANOIA;municipio;;;;;media
GO;JAUPACI;municipio;;;;;media
GO;LESTE GOIANO;mesorregiao;57.0;;;;media
GO;VÃO DO PARANÃ;microrregiao;;;;;media
GO;FLORES DE GOIAS;municipio;;;;;media
GO;GUARANI DE GOIAS;municipio;;;;;media
GO;ENTORNO DE BRASILIA;microrregiao;54.0;;;;media
GO;ABADIANIA;municipio;;;;;media
GO;CORUMBA DE GOIAS;municipio;;;;;media
GO;CRISTALINA;municipio;14.0;41271.0;1000.0;;media
GO;FORMOSA;municipio;;;;;media
GO;LUZIANIA;municipio;;;;;media
GO;PADRE BERNARDO;municipio;;;;;media
GO;PIRENOPOLIS;municipio;;;;;media
GO;PLANAL TINA;municipio;21.0;34.0;10.0;;media
GO;SANTO ANTONIO DO DESCOBERTO;municipio;;;;;media
GO;SUL GOIANO;mesorregiao;291.0;;;;media
GO;SUDOESTE DE GOIAS;microrregiao;193.0;2430.0;14.0;;media
GO;APORE;municipio;;;;;media
