      rank;municipio                     ;     gap_pct;      gap_ha;   deter_km2;  rp_gap_rel;  rp_gap_abs;    rp_deter;       score;tier        ;     ibge_ha;       mb_ha
1;Guajará-Mirim                 ;     58533.6;9609;       970.2;1.000;       0.795;       0.955;2.750;Média       ;9625;        16.4
2;Porto Velho                   ;       198.9;31274;      1948.9;       0.636;1.000;1.000;2.636;Alta        ;46994;     15720.4
3;Itapuã do Oeste               ;       652.1;20375;       194.8;       0.841;       0.955;       0.727;2.523;Alta        ;23500;      3124.5
4;Nova Mamoré                   ;       508.9;9654;       328.2;       0.795;       0.818;       0.841;2.455;Alta        ;11551;      1897.2
5;Candeias do Jamari            ;       173.3;19591;       532.1;       0.591;       0.932;       0.909;2.432;Alta        ;30894;     11303.5
6;Costa Marques                 ;      1915.2;6837;       238.5;       0.932;       0.705;       0.773;2.409;Média       ;7194;       357.0
7;Cujubim                       ;       104.8;13967;       351.0;       0.432;       0.841;       0.864;2.136;Alta        ;27291;     13324.1
8;São Francisco do Guaporé      ;       202.8;6302;       215.1;       0.659;       0.682;       0.750;2.091;Média       ;9410;      3108.0
9;Machadinho D’Oeste            ;       122.6;8538;       291.8;       0.477;       0.727;       0.818;2.023;Média       ;15500;      6962.1
10;Pimenteiras do Oeste          ;        37.4;15509;       395.8;       0.227;       0.864;       0.886;1.977;Alta        ;57000;     41490.7
11;Rio Crespo                    ;       178.8;22763;        18.4;       0.614;       0.977;       0.364;1.955;Média       ;35494;     12730.6
12;São Miguel do Guaporé         ;       101.9;15597;        84.7;       0.409;       0.886;       0.636;1.932;Média       ;30900;     15303.1
13;Cacoal                        ;       263.0;4645;        62.2;       0.727;       0.614;       0.591;1.932;Média       ;6411;      1766.2
14;Alto Paraíso                  ;       127.0;16540;        29.9;       0.500;       0.909;       0.455;1.864;Média       ;29566;     13026.0
15;Parecis                       ;       215.3;3571;        58.3;       0.682;       0.523;       0.568;1.773;Média       ;5229;      1658.3
16;Buritis                       ;      1221.7;1143;        35.0;       0.886;       0.295;       0.500;1.682;Média       ;1237;        93.6
17;Ariquemes                     ;       118.9;8681;        34.9;       0.455;       0.750;       0.477;1.682;Baixa       ;15980;      7298.6
18;Chupinguaia                   ;        26.8;9346;       164.2;       0.205;       0.773;       0.682;1.659;Média       ;44224;     34878.0
19;Vale do Anari                 ;       456.4;2927;        18.1;       0.773;       0.500;       0.341;1.614;Média       ;3568;       641.2
20;Cacaulândia                   ;      3430.9;534;        20.3;       0.977;       0.205;       0.409;1.591;Baixa       ;550;        15.6
21;Campo Novo de Rondônia        ;       349.1;710;        36.8;       0.750;       0.273;       0.545;1.568;Média       ;914;       203.5
22;Mirante da Serra              ;      1962.0;1197;         5.4;       0.955;       0.341;       0.205;1.500;Baixa       ;1258;        61.0
23;Ouro Preto do Oeste           ;      1104.1;1842;         5.0;       0.864;       0.455;       0.182;1.500;Baixa       ;2009;       166.8
24;Espigão D’Oeste               ;        42.4;566;       562.8;       0.273;       0.227;       0.932;1.432;Baixa       ;1902;      1335.8
25;Alto Alegre dos Parecis       ;        71.9;1497;        82.6;       0.318;       0.409;       0.614;1.341;Baixa       ;3579;      2081.5
26;São Felipe D’Oeste            ;       572.9;2427;         0.2;       0.818;       0.477;       0.000;1.295;Baixa       ;2851;       423.7
27;Nova União                    ;      1452.1;186;         9.2;       0.909;       0.136;       0.227;1.273;Baixa       ;199;        12.8
28;Alta Floresta D’Oeste         ;        68.2;688;       171.0;       0.295;       0.250;       0.705;1.250;Baixa       ;1697;      1008.9
29;Nova Brasilândia D’Oeste      ;       240.6;1384;         3.6;       0.705;       0.386;       0.159;1.250;Baixa       ;1959;       575.2
30;Santa Luzia D’Oeste           ;       160.6;5187;         1.0;       0.568;       0.636;       0.045;1.250;Média       ;8417;      3229.8
31;Alvorada D’Oeste              ;        84.0;469;        88.6;       0.364;       0.182;       0.659;1.205;Baixa       ;1028;       558.7
32;Theobroma                     ;       151.3;1144;        14.8;       0.545;       0.318;       0.295;1.159;Baixa       ;1900;       756.2
33;Castanheiras                  ;       141.0;3803;         1.4;       0.523;       0.545;       0.091;1.159;Média       ;6500;      2697.0
34;Cerejeiras                    ;        12.3;4373;        19.3;       0.136;       0.591;       0.386;1.114;Baixa       ;39960;     35586.6
35;Pimenta Bueno                 ;        15.1;274;       267.9;       0.159;       0.159;       0.795;1.114;Baixa       ;2085;      1810.9
36;Cabixi                        ;        20.5;5430;        10.2;       0.182;       0.659;       0.250;1.091;Baixa       ;31922;     26492.3
37;Vilhena                       ;        -8.7;-4043;      1102.5;       0.068;       0.000;       0.977;1.045;Baixa       ;42471;     46513.5
38;Rolim de Moura                ;        99.3;3994;         1.4;       0.386;       0.568;       0.068;1.023;Baixa       ;8017;      4023.1
39;Corumbiara                    ;         3.4;1740;        16.9;       0.114;       0.432;       0.318;       0.864;Baixa       ;52743;     51002.9
40;Novo Horizonte do Oeste       ;        74.1;1266;         1.7;       0.341;       0.364;       0.136;       0.841;Baixa       ;2975;      1708.7
41;Jaru                          ;        38.7;52;        10.9;       0.250;       0.114;       0.273;       0.636;Baixa       ;187;       134.9
42;Seringueiras                  ;        -1.3;-58;        24.9;       0.091;       0.091;       0.432;       0.614;Baixa       ;4471;      4528.8
43;Ji-Paraná                     ;       -80.5;-280;        35.1;       0.000;       0.045;       0.523;       0.568;Baixa       ;68;       348.0
44;Colorado do Oeste             ;       -47.4;-2077;         1.6;       0.023;       0.023;       0.114;       0.159;Baixa       ;2307;      4384.4
45;Primavera de Rondônia         ;       -15.4;-99;         0.3;       0.045;       0.068;       0.023;       0.136;Baixa       ;542;       640.9
