municipio                     ;        ibge_ha;          mb_ha;        gap_pct;      deter_km2
Porto Velho                   ;46994;        15720.4;          198.9;         1948.9
Vilhena                       ;42471;        46513.5;           -8.7;         1102.5
Guajará-Mirim                 ;9625;           16.4;        58533.6;          970.2
Espigão D’Oeste               ;1902;         1335.8;           42.4;          562.8
Candeias do Jamari            ;30894;        11303.5;          173.3;          532.1
Pimenteiras do Oeste          ;57000;        41490.7;           37.4;          395.8
Cujubim                       ;27291;        13324.1;          104.8;          351.0
Nova Mamoré                   ;11551;         1897.2;          508.9;          328.2
Machadinho D’Oeste            ;15500;         6962.1;          122.6;          291.8
Pimenta Bueno                 ;2085;         1810.9;           15.1;          267.9
Costa Marques                 ;7194;          357.0;         1915.2;          238.5
São Francisco do Guaporé      ;9410;         3108.0;          202.8;          215.1
Itapuã do Oeste               ;23500;         3124.5;          652.1;          194.8
Alta Floresta D’Oeste         ;1697;         1008.9;           68.2;          171.0
Chupinguaia                   ;44224;        34878.0;           26.8;          164.2
Alvorada D’Oeste              ;1028;          558.7;           84.0;           88.6
São Miguel do Guaporé         ;30900;        15303.1;          101.9;           84.7
Alto Alegre dos Parecis       ;3579;         2081.5;           71.9;           82.6
Cacoal                        ;6411;         1766.2;          263.0;           62.2
Parecis                       ;5229;         1658.3;          215.3;           58.3
Campo Novo de Rondônia        ;914;          203.5;          349.1;           36.8
Ji-Paraná                     ;68;          348.0;          -80.5;           35.1
Buritis                       ;1237;           93.6;         1221.7;           35.0
Ariquemes                     ;15980;         7298.6;          118.9;           34.9
Alto Paraíso                  ;29566;        13026.0;          127.0;           29.9
Seringueiras                  ;4471;         4528.8;           -1.3;           24.9
Cacaulândia                   ;550;           15.6;         3430.9;           20.3
Cerejeiras                    ;39960;        35586.6;           12.3;           19.3
Rio Crespo                    ;35494;        12730.6;          178.8;           18.4
Vale do Anari                 ;3568;          641.2;          456.4;           18.1
Corumbiara                    ;52743;        51002.9;            3.4;           16.9
Theobroma                     ;1900;          756.2;          151.3;           14.8
Jaru                          ;187;          134.9;           38.7;           10.9
Cabixi                        ;31922;        26492.3;           20.5;           10.2
Nova União                    ;199;           12.8;         1452.1;            9.2
Mirante da Serra              ;1258;           61.0;         1962.0;            5.4
Ouro Preto do Oeste           ;2009;          166.8;         1104.1;            5.0
Nova Brasilândia D’Oeste      ;1959;          575.2;          240.6;            3.6
Novo Horizonte do Oeste       ;2975;         1708.7;           74.1;            1.7
Colorado do Oeste             ;2307;         4384.4;          -47.4;            1.6
Castanheiras                  ;6500;         2697.0;          141.0;            1.4
Rolim de Moura                ;8017;         4023.1;           99.3;            1.4
Santa Luzia D’Oeste           ;8417;         3229.8;          160.6;            1.0
Primavera de Rondônia         ;542;          640.9;          -15.4;            0.3
São Felipe D’Oeste            ;2851;          423.7;          572.9;            0.2
